Row,Column,Droplet
0,1,3
0,2,3
0,4,2
0,5,3
0,6,2
0,9,2
0,10,1
0,11,2
0,12,3
0,13,3
0,16,3
0,17,2
0,18,3
0,19,1
0,20,2
0,21,3
0,23,1
1,23,3
1,22,2
1,21,2
1,20,2
1,18,1
1,17,3
1,12,3
1,11,3
1,10,2
1,9,3
1,7,1
1,6,2
1,5,3
1,4,3
1,3,1
1,1,2
1,0,3
2,1,2
2,2,2
2,3,2
2,4,1
2,5,1
2,6,3
2,7,2
2,8,1
2,9,3
2,10,2
2,11,1
2,13,3
2,14,3
2,15,3
2,16,3
2,17,3
2,18,3
2,19,3
2,20,1
2,22,3
2,23,3
3,23,1
3,22,1
3,21,2
3,20,3
3,19,2
3,17,3
3,15,3
3,14,3
3,13,3
3,12,2
3,11,3
3,9,3
3,8,2
3,7,3
3,6,3
3,4,1
3,3,2
3,2,3
3,1,3
3,0,3
4,0,3
4,1,3
4,2,3
4,4,2
4,5,1
4,6,3
4,7,3
4,8,3
4,9,3
4,11,3
4,13,1
4,15,2
4,16,3
4,18,3
4,21,3
4,22,3
4,23,1
5,23,1
5,22,3
5,21,2
5,20,2
5,19,2
5,18,2
5,17,2
5,16,3
5,15,3
5,14,1
5,13,1
5,12,2
5,11,3
5,10,2
5,9,1
5,8,2
5,7,3
5,6,3
5,5,2
5,4,3
5,3,3
5,1,1
5,0,2
6,0,3
6,1,3
6,2,1
6,3,2
6,5,3
6,6,2
6,7,3
6,8,3
6,9,3
6,12,3
6,13,3
6,16,3
6,17,2
6,18,3
6,19,3
6,21,3
6,23,3
7,23,1
7,22,1
7,20,3
7,19,3
7,15,2
7,14,3
7,13,3
7,12,3
7,9,2
7,8,3
7,7,3
7,6,1
7,5,2
7,4,3
7,2,3
7,0,3
8,1,3
8,2,1
8,4,3
8,5,2
8,6,2
8,7,3
8,8,3
8,9,3
8,10,1
8,11,3
8,12,1
8,13,1
8,14,2
8,15,1
8,16,3
8,18,3
8,19,3
8,21,3
8,22,1
8,23,1
9,23,3
9,20,3
9,18,1
9,17,3
9,15,3
9,10,1
9,8,3
9,7,3
9,5,2
9,3,2
9,2,3
9,1,3
10,1,3
10,2,2
10,3,3
10,4,3
10,5,3
10,6,3
10,8,3
10,9,3
10,10,3
10,11,3
10,12,2
10,13,3
10,14,3
10,15,1
10,16,2
10,17,3
10,18,3
10,19,3
10,20,1
10,21,3
10,22,1
10,23,3
11,23,3
11,22,1
11,21,1
11,20,3
11,15,2
11,14,3
11,13,2
11,12,3
11,11,1
11,8,1
11,7,2
11,6,3
11,4,3
11,1,2
11,0,3
12,0,2
12,1,3
12,4,3
12,5,3
12,6,2
12,7,3
12,9,3
12,11,2
12,12,3
12,13,2
12,14,2
12,15,1
12,16,2
12,18,3
12,19,2
12,20,3
12,22,3
13,23,3
13,22,2
13,21,1
13,20,3
13,19,1
13,18,3
13,16,2
13,15,2
13,14,3
13,12,1
13,8,3
13,5,1
13,3,3
13,1,2
13,0,2
14,1,2
14,2,2
14,4,3
14,5,3
14,6,2
14,7,3
14,8,3
14,9,2
14,10,3
14,11,3
14,14,3
14,15,1
14,16,3
14,17,2
14,19,1
14,20,3
14,21,3
14,22,3
14,23,3
15,23,1
15,22,2
15,21,3
15,20,3
15,19,3
15,18,3
15,17,3
15,16,3
15,15,1
15,14,1
15,13,2
15,12,1
15,11,1
15,10,1
15,9,1
15,6,3
15,5,3
15,4,3
15,3,2
15,2,3
