well_name,unique_id,DNA_name,rxn_id,DNA_conc,Mg,SecYE,K,PEG,Spermidine,Liposome_conc,Liposome_name,day,plate,col,row
B9,384,B2AR,7,2.5,8,0.0,235,0,8.0,3,DMPC--0%PE--0%Chol,1,2,8,1
G23,385,B2AR,13,2.5,8,0.625,185,0,8.0,3,DOPC--15%PE--0%Chol,1,2,22,6
C9,386,B2AR,20,2.5,11,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,2,8,2
D22,387,B2AR,27,2.5,14,0.0,135,0,8.0,3,DMPC--0%PE--0%Chol,1,2,21,3
A3,388,B2AR,42,2.5,17,0.0,135,0,8.0,3,DMPC--15%PE--0%Chol,1,2,2,0
D19,389,B2AR,79,5.0,8,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,2,18,3
N10,390,B2AR,87,5.0,8,0.625,235,0,8.0,3,DMPC--0%PE--0%Chol,1,2,9,13
I24,391,B2AR,95,5.0,11,0.0,185,0,8.0,3,DOPC--15%PE--0%Chol,1,2,23,8
N13,392,B2AR,111,5.0,11,1.25,135,0,4.0,3,DMPC--15%PE--0%Chol,1,2,12,13
B2,393,B2AR,112,5.0,14,0.0,85,0,4.0,3,DOPC--15%PE--0%Chol,1,2,1,1
H6,394,B2AR,129,5.0,14,0.625,85,0,4.0,3,DMPC--0%PE--0%Chol,1,2,5,7
E1,395,B2AR,146,5.0,17,0.0,185,0,0.1,3,DOPC--0%PE--0%Chol,1,2,0,4
M6,396,B2AR,166,5.0,17,0.0,235,0,8.0,3,DMPC--0%PE--0%Chol,1,2,5,12
D10,397,B2AR,169,5.0,17,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,2,9,3
P3,398,B2AR,171,5.0,17,0.625,85,0,4.0,3,DMPC--15%PE--0%Chol,1,2,2,15
J9,399,B2AR,184,5.0,17,1.25,235,0,0.1,3,DMPC--0%PE--0%Chol,1,2,8,9
G5,400,B2AR,7,2.5,8,0.0,235,0,8.0,3,DMPC--0%PE--0%Chol,1,2,4,6
M22,401,B2AR,13,2.5,8,0.625,185,0,8.0,3,DOPC--15%PE--0%Chol,1,2,21,12
F15,402,B2AR,20,2.5,11,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,2,14,5
A18,403,B2AR,27,2.5,14,0.0,135,0,8.0,3,DMPC--0%PE--0%Chol,1,2,17,0
N19,404,B2AR,42,2.5,17,0.0,135,0,8.0,3,DMPC--15%PE--0%Chol,1,2,18,13
A23,405,B2AR,79,5.0,8,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,2,22,0
N7,406,B2AR,87,5.0,8,0.625,235,0,8.0,3,DMPC--0%PE--0%Chol,1,2,6,13
F14,407,B2AR,95,5.0,11,0.0,185,0,8.0,3,DOPC--15%PE--0%Chol,1,2,13,5
I3,408,B2AR,111,5.0,11,1.25,135,0,4.0,3,DMPC--15%PE--0%Chol,1,2,2,8
M20,409,B2AR,112,5.0,14,0.0,85,0,4.0,3,DOPC--15%PE--0%Chol,1,2,19,12
K13,410,B2AR,129,5.0,14,0.625,85,0,4.0,3,DMPC--0%PE--0%Chol,1,2,12,10
E2,411,B2AR,146,5.0,17,0.0,185,0,0.1,3,DOPC--0%PE--0%Chol,1,2,1,4
G17,412,B2AR,166,5.0,17,0.0,235,0,8.0,3,DMPC--0%PE--0%Chol,1,2,16,6
G6,413,B2AR,169,5.0,17,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,2,5,6
G13,414,B2AR,171,5.0,17,0.625,85,0,4.0,3,DMPC--15%PE--0%Chol,1,2,12,6
P6,415,B2AR,184,5.0,17,1.25,235,0,0.1,3,DMPC--0%PE--0%Chol,1,2,5,15
G15,416,B2AR,7,2.5,8,0.0,235,0,8.0,3,DMPC--0%PE--0%Chol,1,2,14,6
E15,417,B2AR,13,2.5,8,0.625,185,0,8.0,3,DOPC--15%PE--0%Chol,1,2,14,4
N6,418,B2AR,20,2.5,11,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,2,5,13
O18,419,B2AR,27,2.5,14,0.0,135,0,8.0,3,DMPC--0%PE--0%Chol,1,2,17,14
M13,420,B2AR,42,2.5,17,0.0,135,0,8.0,3,DMPC--15%PE--0%Chol,1,2,12,12
A1,421,B2AR,79,5.0,8,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,2,0,0
P1,422,B2AR,87,5.0,8,0.625,235,0,8.0,3,DMPC--0%PE--0%Chol,1,2,0,15
P15,423,B2AR,95,5.0,11,0.0,185,0,8.0,3,DOPC--15%PE--0%Chol,1,2,14,15
O20,424,B2AR,111,5.0,11,1.25,135,0,4.0,3,DMPC--15%PE--0%Chol,1,2,19,14
C11,425,B2AR,112,5.0,14,0.0,85,0,4.0,3,DOPC--15%PE--0%Chol,1,2,10,2
D4,426,B2AR,129,5.0,14,0.625,85,0,4.0,3,DMPC--0%PE--0%Chol,1,2,3,3
F8,427,B2AR,146,5.0,17,0.0,185,0,0.1,3,DOPC--0%PE--0%Chol,1,2,7,5
L1,428,B2AR,166,5.0,17,0.0,235,0,8.0,3,DMPC--0%PE--0%Chol,1,2,0,11
H9,429,B2AR,169,5.0,17,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,2,8,7
P17,430,B2AR,171,5.0,17,0.625,85,0,4.0,3,DMPC--15%PE--0%Chol,1,2,16,15
N15,431,B2AR,184,5.0,17,1.25,235,0,0.1,3,DMPC--0%PE--0%Chol,1,2,14,13
O19,432,B2AR,7,2.5,8,0.0,235,0,8.0,3,DMPC--0%PE--0%Chol,1,2,18,14
B15,433,B2AR,13,2.5,8,0.625,185,0,8.0,3,DOPC--15%PE--0%Chol,1,2,14,1
C6,434,B2AR,20,2.5,11,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,2,5,2
F20,435,B2AR,27,2.5,14,0.0,135,0,8.0,3,DMPC--0%PE--0%Chol,1,2,19,5
C15,436,B2AR,42,2.5,17,0.0,135,0,8.0,3,DMPC--15%PE--0%Chol,1,2,14,2
H12,437,B2AR,79,5.0,8,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,2,11,7
D6,438,B2AR,87,5.0,8,0.625,235,0,8.0,3,DMPC--0%PE--0%Chol,1,2,5,3
L12,439,B2AR,95,5.0,11,0.0,185,0,8.0,3,DOPC--15%PE--0%Chol,1,2,11,11
I16,440,B2AR,111,5.0,11,1.25,135,0,4.0,3,DMPC--15%PE--0%Chol,1,2,15,8
F22,441,B2AR,112,5.0,14,0.0,85,0,4.0,3,DOPC--15%PE--0%Chol,1,2,21,5
F9,442,B2AR,129,5.0,14,0.625,85,0,4.0,3,DMPC--0%PE--0%Chol,1,2,8,5
A2,443,B2AR,146,5.0,17,0.0,185,0,0.1,3,DOPC--0%PE--0%Chol,1,2,1,0
E9,444,B2AR,166,5.0,17,0.0,235,0,8.0,3,DMPC--0%PE--0%Chol,1,2,8,4
K20,445,B2AR,169,5.0,17,0.0,235,0,8.0,3,DMPC--15%PE--0%Chol,1,2,19,10
C20,446,B2AR,171,5.0,17,0.625,85,0,4.0,3,DMPC--15%PE--0%Chol,1,2,19,2
H15,447,B2AR,184,5.0,17,1.25,235,0,0.1,3,DMPC--0%PE--0%Chol,1,2,14,7
I1,448,B2AR,7,2.5,8,0.0,235,0,8.0,3,no_lipo,1,2,0,8
G21,449,B2AR,13,2.5,8,0.625,185,0,8.0,3,no_lipo,1,2,20,6
B8,450,B2AR,20,2.5,11,0.0,235,0,8.0,3,no_lipo,1,2,7,1
F6,451,B2AR,27,2.5,14,0.0,135,0,8.0,3,no_lipo,1,2,5,5
I20,452,B2AR,42,2.5,17,0.0,135,0,8.0,3,no_lipo,1,2,19,8
N12,453,B2AR,79,5.0,8,0.0,235,0,8.0,3,no_lipo,1,2,11,13
J1,454,B2AR,87,5.0,8,0.625,235,0,8.0,3,no_lipo,1,2,0,9
I11,455,B2AR,95,5.0,11,0.0,185,0,8.0,3,no_lipo,1,2,10,8
L22,456,B2AR,111,5.0,11,1.25,135,0,4.0,3,no_lipo,1,2,21,11
O3,457,B2AR,112,5.0,14,0.0,85,0,4.0,3,no_lipo,1,2,2,14
F11,458,B2AR,129,5.0,14,0.625,85,0,4.0,3,no_lipo,1,2,10,5
E10,459,B2AR,146,5.0,17,0.0,185,0,0.1,3,no_lipo,1,2,9,4
C14,460,B2AR,166,5.0,17,0.0,235,0,8.0,3,no_lipo,1,2,13,2
D15,461,B2AR,169,5.0,17,0.0,235,0,8.0,3,no_lipo,1,2,14,3
O21,462,B2AR,171,5.0,17,0.625,85,0,4.0,3,no_lipo,1,2,20,14
M19,463,B2AR,184,5.0,17,1.25,235,0,0.1,3,no_lipo,1,2,18,12
P9,464,B2AR,7,2.5,8,0.0,235,0,8.0,3,no_lipo,1,2,8,15
D11,465,B2AR,13,2.5,8,0.625,185,0,8.0,3,no_lipo,1,2,10,3
I13,466,B2AR,20,2.5,11,0.0,235,0,8.0,3,no_lipo,1,2,12,8
O2,467,B2AR,27,2.5,14,0.0,135,0,8.0,3,no_lipo,1,2,1,14
K14,468,B2AR,42,2.5,17,0.0,135,0,8.0,3,no_lipo,1,2,13,10
L20,469,B2AR,79,5.0,8,0.0,235,0,8.0,3,no_lipo,1,2,19,11
L17,470,B2AR,87,5.0,8,0.625,235,0,8.0,3,no_lipo,1,2,16,11
N20,471,B2AR,95,5.0,11,0.0,185,0,8.0,3,no_lipo,1,2,19,13
B19,472,B2AR,111,5.0,11,1.25,135,0,4.0,3,no_lipo,1,2,18,1
F18,473,B2AR,112,5.0,14,0.0,85,0,4.0,3,no_lipo,1,2,17,5
F19,474,B2AR,129,5.0,14,0.625,85,0,4.0,3,no_lipo,1,2,18,5
E23,475,B2AR,146,5.0,17,0.0,185,0,0.1,3,no_lipo,1,2,22,4
C7,476,B2AR,166,5.0,17,0.0,235,0,8.0,3,no_lipo,1,2,6,2
I9,477,B2AR,169,5.0,17,0.0,235,0,8.0,3,no_lipo,1,2,8,8
O12,478,B2AR,171,5.0,17,0.625,85,0,4.0,3,no_lipo,1,2,11,14
F12,479,B2AR,184,5.0,17,1.25,235,0,0.1,3,no_lipo,1,2,11,5
N14,480,B2AR,7,2.5,8,0.0,235,0,8.0,3,no_lipo,1,2,13,13
H18,481,B2AR,13,2.5,8,0.625,185,0,8.0,3,no_lipo,1,2,17,7
J19,482,B2AR,20,2.5,11,0.0,235,0,8.0,3,no_lipo,1,2,18,9
N23,483,B2AR,27,2.5,14,0.0,135,0,8.0,3,no_lipo,1,2,22,13
J8,484,B2AR,42,2.5,17,0.0,135,0,8.0,3,no_lipo,1,2,7,9
J15,485,B2AR,79,5.0,8,0.0,235,0,8.0,3,no_lipo,1,2,14,9
C1,486,B2AR,87,5.0,8,0.625,235,0,8.0,3,no_lipo,1,2,0,2
A11,487,B2AR,95,5.0,11,0.0,185,0,8.0,3,no_lipo,1,2,10,0
P16,488,B2AR,111,5.0,11,1.25,135,0,4.0,3,no_lipo,1,2,15,15
F1,489,B2AR,112,5.0,14,0.0,85,0,4.0,3,no_lipo,1,2,0,5
B7,490,B2AR,129,5.0,14,0.625,85,0,4.0,3,no_lipo,1,2,6,1
I19,491,B2AR,146,5.0,17,0.0,185,0,0.1,3,no_lipo,1,2,18,8
O11,492,B2AR,166,5.0,17,0.0,235,0,8.0,3,no_lipo,1,2,10,14
F5,493,B2AR,169,5.0,17,0.0,235,0,8.0,3,no_lipo,1,2,4,5
K6,494,B2AR,171,5.0,17,0.625,85,0,4.0,3,no_lipo,1,2,5,10
G14,495,B2AR,184,5.0,17,1.25,235,0,0.1,3,no_lipo,1,2,13,6
M18,496,B2AR,7,2.5,8,0.0,235,0,8.0,3,no_lipo,1,2,17,12
E11,497,B2AR,13,2.5,8,0.625,185,0,8.0,3,no_lipo,1,2,10,4
P12,498,B2AR,20,2.5,11,0.0,235,0,8.0,3,no_lipo,1,2,11,15
I6,499,B2AR,27,2.5,14,0.0,135,0,8.0,3,no_lipo,1,2,5,8
H14,500,B2AR,42,2.5,17,0.0,135,0,8.0,3,no_lipo,1,2,13,7
O4,501,B2AR,79,5.0,8,0.0,235,0,8.0,3,no_lipo,1,2,3,14
N18,502,B2AR,87,5.0,8,0.625,235,0,8.0,3,no_lipo,1,2,17,13
