Row,Column,Droplet
0,3,2
0,6,2
0,7,1
0,10,2
0,12,2
0,17,1
0,18,2
0,19,1
1,23,1
1,21,2
1,18,2
1,13,1
1,12,2
1,8,2
1,5,2
1,2,2
2,3,1
2,5,2
2,6,2
2,7,2
2,8,2
2,21,2
3,22,2
3,20,1
3,16,1
3,15,1
3,14,1
3,12,1
3,1,2
3,0,1
4,0,2
4,7,1
4,10,2
4,11,2
4,16,2
4,18,2
4,22,2
5,22,2
5,19,1
5,18,1
5,12,2
5,11,2
5,10,2
5,6,1
5,5,1
5,4,2
5,3,1
5,2,1
6,0,2
6,2,1
6,7,1
6,10,2
6,14,1
6,15,2
6,17,1
6,18,2
7,23,2
7,20,2
7,14,2
7,11,2
7,7,1
7,4,2
8,0,2
8,4,2
8,5,1
8,12,2
8,13,2
8,14,2
8,17,2
8,18,1
8,20,2
8,21,1
9,22,2
9,21,1
9,19,2
9,18,2
9,17,2
9,13,2
9,11,2
9,8,2
9,6,1
9,5,2
9,3,2
9,1,1
10,2,2
10,4,2
10,14,1
10,17,2
10,18,2
10,21,1
11,23,2
11,15,2
11,5,1
11,3,2
11,2,2
11,1,2
11,0,1
12,0,1
12,4,1
12,5,1
12,7,2
12,11,1
12,13,2
12,16,2
12,22,1
13,22,2
13,18,2
13,17,1
13,15,2
13,13,2
13,7,1
13,5,1
13,4,2
13,1,2
14,0,1
14,5,2
14,7,1
14,8,2
14,11,2
14,13,1
14,20,1
15,23,2
15,22,2
15,20,1
15,19,2
15,9,1
15,7,2
15,4,2
