Row,Column,Droplet
0,0,4
0,4,4
0,16,4
0,17,4
1,15,4
1,13,4
1,11,4
1,9,4
1,3,4
1,1,4
2,1,4
2,3,4
2,10,4
2,11,4
2,15,4
2,19,4
3,19,4
3,11,4
3,8,4
3,7,4
3,5,4
3,3,4
3,0,4
4,1,4
4,2,4
4,4,4
4,7,4
4,8,4
4,15,4
4,18,4
4,19,4
5,20,4
5,19,4
5,5,4
5,0,4
6,2,4
6,6,4
6,11,4
6,21,4
7,13,4
7,12,4
7,4,4
7,3,4
8,4,4
8,5,4
8,6,4
8,21,4
8,22,4
9,16,4
9,10,4
9,6,4
10,0,4
10,4,4
10,11,4
10,16,4
10,19,4
10,22,4
11,17,4
11,9,4
12,2,4
12,3,4
12,9,4
12,17,4
12,18,4
12,21,4
12,23,4
13,19,4
13,14,4
13,10,4
13,6,4
14,0,4
14,2,4
14,3,4
14,17,4
14,19,4
14,21,4
15,17,4
15,15,4
15,10,4
15,0,4
