well_name,deGFP,K,Mg,WCE,Supp
A1,5,185,8,BL64,S25
A2,5,135,12,BL64,S25
A3,5,85,10,BL64,S25
A4,5,185,8,BL65,S25
A5,5,135,12,BL65,S25
A6,5,85,10,BL65,S25
B1,5,85,8,BL64,S25
B2,5,85,12,BL64,S25
B3,5,135,10,BL64,S25
B4,5,85,8,BL65,S25
B5,5,85,12,BL65,S25
B6,5,135,10,BL65,S25
C1,5,135,8,BL64,S25
C2,5,185,10,BL64,S25
C3,5,185,10,BL64,S25
C4,5,135,8,BL65,S25
C5,5,185,10,BL65,S25
C6,5,185,10,BL65,S25
D1,5,185,14,BL64,S25
D2,5,135,10,BL64,S25
D3,5,185,16,BL64,S25
D4,5,185,14,BL65,S25
D5,5,135,10,BL65,S25
D6,5,185,16,BL65,S25
E1,5,185,16,BL64,S25
E2,5,85,8,BL64,S25
E3,5,85,14,BL64,S25
E4,5,185,16,BL65,S25
E5,5,85,8,BL65,S25
E6,5,85,14,BL65,S25
F1,5,135,14,BL64,S25
F2,5,85,14,BL64,S25
F3,5,185,14,BL64,S25
F4,5,135,14,BL65,S25
F5,5,85,14,BL65,S25
F6,5,185,14,BL65,S25
G1,5,135,14,BL64,S25
G2,5,135,16,BL64,S25
G3,5,135,16,BL64,S25
G4,5,135,14,BL65,S25
G5,5,135,16,BL65,S25
G6,5,135,16,BL65,S25
H1,5,85,14,BL64,S25
H2,5,135,12,BL64,S25
H3,5,135,8,BL64,S25
H4,5,85,14,BL65,S25
H5,5,135,12,BL65,S25
H6,5,135,8,BL65,S25
I1,5,185,8,BL64,S25
I2,5,85,16,BL64,S25
I3,5,135,14,BL64,S25
I4,5,185,8,BL65,S25
I5,5,85,16,BL65,S25
I6,5,135,14,BL65,S25
J1,5,85,12,BL64,S25
J2,5,85,16,BL64,S25
J3,5,85,8,BL64,S25
J4,5,85,12,BL65,S25
J5,5,85,16,BL65,S25
J6,5,85,8,BL65,S25
K1,5,85,10,BL64,S25
K2,5,185,14,BL64,S25
K3,5,135,8,BL64,S25
K4,5,85,10,BL65,S25
K5,5,185,14,BL65,S25
K6,5,135,8,BL65,S25
L1,5,85,12,BL64,S25
L2,5,85,10,BL64,S25
L3,5,185,10,BL64,S25
L4,5,85,12,BL65,S25
L5,5,85,10,BL65,S25
L6,5,185,10,BL65,S25
M1,5,185,12,BL64,S25
M2,5,135,10,BL64,S25
M3,5,85,16,BL64,S25
M4,5,185,12,BL65,S25
M5,5,135,10,BL65,S25
M6,5,85,16,BL65,S25
N1,5,185,16,BL64,S25
N2,5,185,12,BL64,S25
N4,5,185,16,BL65,S25
N5,5,185,12,BL65,S25
O1,5,185,8,BL64,S25
O2,5,135,16,BL64,S25
O4,5,185,8,BL65,S25
O5,5,135,16,BL65,S25
P1,5,185,12,BL64,S25
P2,5,135,12,BL64,S25
P4,5,185,12,BL65,S25
P5,5,135,12,BL65,S25
