Row,Column,Droplet
0,0,1
0,1,2
0,2,2
0,10,2
0,17,2
0,22,1
1,18,1
1,14,1
1,8,2
1,7,1
1,6,1
1,1,2
2,0,1
2,5,1
2,6,2
2,8,1
2,10,2
2,13,2
2,14,2
2,19,2
3,21,2
3,18,1
3,14,1
3,10,1
3,9,1
3,5,1
3,3,1
4,0,2
4,1,2
4,8,2
4,9,2
4,10,1
4,14,1
4,22,2
5,21,2
5,19,2
5,18,1
5,17,2
5,14,1
5,13,2
5,11,1
5,10,1
5,8,1
5,7,2
5,5,2
5,4,1
5,0,2
6,4,2
6,5,1
6,7,1
6,12,2
6,13,1
6,14,2
6,16,2
6,20,1
6,22,1
7,17,1
7,14,1
7,13,2
7,11,1
7,8,1
7,5,1
8,0,2
8,2,1
8,5,2
8,8,1
8,10,2
8,12,1
8,13,2
8,15,1
8,18,2
8,19,2
8,23,2
9,18,1
9,14,1
9,8,1
9,7,2
9,2,2
9,0,1
10,5,2
10,12,1
10,13,2
10,19,1
10,22,1
11,23,2
11,21,1
11,19,1
11,16,1
11,15,2
11,11,2
11,6,1
11,0,2
12,5,2
12,12,2
12,17,2
12,18,1
12,19,2
12,21,1
13,22,2
13,19,2
13,18,2
13,17,1
13,14,1
13,13,2
13,12,1
13,11,1
13,9,1
13,6,1
13,5,1
13,1,1
14,1,2
14,2,2
14,3,1
14,10,2
14,11,2
14,17,2
14,18,2
14,19,1
14,20,2
15,21,2
15,16,2
15,15,1
15,14,2
15,11,1
15,8,2
15,5,1
15,2,2
15,0,1
