Row,Column,Droplet
0,3,2
0,5,2
0,6,1
0,7,2
0,8,1
0,12,2
0,13,1
0,14,2
0,15,2
0,16,1
0,20,2
1,21,1
1,20,1
1,19,1
1,17,2
1,16,1
1,15,2
1,5,2
2,3,1
2,4,1
2,7,2
2,12,2
2,15,1
2,17,1
2,20,1
3,23,1
3,19,2
3,17,2
3,16,2
3,15,2
3,12,2
3,11,1
3,8,1
3,7,2
3,0,1
4,3,1
4,6,1
4,12,1
4,15,1
4,16,2
4,17,1
4,19,2
4,21,2
4,23,1
5,20,1
5,12,2
5,6,2
5,3,2
5,2,2
6,1,2
6,2,1
6,6,1
6,8,1
6,10,1
6,11,1
6,18,2
6,23,2
7,19,1
7,18,1
7,16,1
7,15,1
7,10,2
7,4,2
7,3,1
7,2,1
7,1,2
8,1,2
8,4,2
8,6,1
8,9,2
8,11,2
8,14,2
8,20,2
8,22,1
9,23,2
9,21,2
9,20,2
9,16,1
9,13,2
9,11,1
9,10,1
9,9,2
9,6,1
9,4,1
10,0,1
10,1,2
10,2,1
10,4,2
10,9,1
10,18,1
10,21,1
11,18,1
11,17,2
11,12,2
11,10,2
11,9,1
11,5,2
11,2,2
12,1,2
12,3,2
12,4,2
12,6,1
12,8,1
12,10,1
12,13,1
12,16,1
13,20,2
13,15,2
13,8,2
13,7,2
13,4,2
13,3,1
13,2,2
14,0,1
14,4,2
14,6,1
14,7,2
14,9,2
14,12,2
14,13,1
14,22,1
14,23,2
15,22,1
15,17,1
15,12,1
15,7,1
15,4,2
15,1,1
