Row,Column,Droplet
0,2,1
0,6,1
0,7,1
0,11,2
0,12,1
0,13,2
0,14,2
0,18,2
0,19,2
0,23,2
1,23,2
1,21,1
1,14,2
1,13,2
1,12,2
1,8,1
1,6,2
1,4,2
1,1,1
2,2,1
2,3,1
2,7,1
2,8,1
2,10,1
2,11,2
2,18,2
2,23,2
3,22,1
3,20,1
3,16,2
3,15,1
3,13,1
3,12,1
3,9,1
3,8,1
3,6,1
4,0,2
4,2,2
4,4,2
4,5,2
4,6,1
4,8,1
4,15,1
4,18,1
4,19,2
4,22,2
4,23,2
5,21,2
5,18,2
5,13,1
5,12,1
5,10,2
5,9,2
5,5,2
6,2,2
6,3,1
6,5,2
6,8,1
6,19,2
6,21,2
7,22,1
7,20,2
7,17,2
7,15,1
7,9,2
7,7,1
7,6,2
7,4,1
7,3,1
7,0,1
8,10,2
8,13,1
8,15,2
8,16,2
8,22,2
9,21,1
9,19,1
9,18,2
9,14,2
9,9,1
9,7,2
9,5,1
10,5,1
10,9,2
10,10,1
10,17,1
10,19,1
10,21,1
10,23,1
11,23,1
11,20,1
11,18,2
11,15,1
11,14,2
11,8,2
11,6,2
11,4,2
11,3,1
11,1,1
11,0,1
12,9,1
12,11,2
12,13,2
12,18,2
12,23,1
13,23,2
13,22,1
13,11,1
13,3,2
13,1,1
13,0,2
14,0,2
14,2,1
14,6,1
14,10,1
14,18,2
14,19,2
15,23,2
15,22,2
15,21,1
15,20,1
15,17,1
15,16,2
15,13,2
15,12,1
15,10,2
15,8,2
15,2,1
