Row,Column,Droplet
0,5,1
0,8,1
0,10,2
0,15,1
0,20,1
0,21,2
0,22,1
1,18,1
1,17,1
1,15,1
1,11,2
1,10,2
1,5,2
2,0,2
2,1,1
2,9,1
2,12,2
2,15,1
2,16,1
2,17,2
2,21,1
2,22,1
3,21,2
3,18,2
3,14,1
3,11,1
4,1,2
4,3,2
4,7,2
4,9,2
4,11,1
4,13,2
5,23,2
5,22,1
5,19,1
5,17,2
5,15,1
5,14,1
5,11,2
5,8,1
5,7,1
5,4,2
5,2,2
5,0,1
6,0,1
6,1,2
6,6,1
6,9,2
6,12,2
6,14,2
6,16,2
6,17,1
6,20,2
7,21,1
7,19,2
7,18,2
7,16,2
7,13,2
7,10,1
7,8,2
8,4,2
8,5,2
8,9,1
8,12,2
8,14,2
8,17,2
8,18,1
8,20,2
8,21,1
9,17,2
9,16,1
9,12,1
9,8,2
9,3,2
9,2,2
10,1,1
10,6,1
10,12,1
10,13,1
10,14,1
10,16,2
10,20,1
10,22,2
11,21,1
11,19,2
11,12,2
11,11,2
11,9,1
11,7,1
11,5,2
12,0,1
12,5,1
12,10,2
12,12,2
12,14,1
12,15,2
12,19,2
12,20,1
12,21,1
12,22,2
13,19,2
13,18,1
13,17,2
13,15,1
13,14,2
13,13,2
13,12,1
13,10,2
13,9,1
13,8,1
13,7,1
13,5,1
14,3,1
14,4,2
14,5,2
14,8,2
14,13,1
14,17,2
14,20,1
14,21,1
14,22,2
14,23,1
15,11,2
15,9,1
15,7,1
15,6,2
15,1,1
15,0,1
