Row,Column,Droplet
0,1,1
0,3,2
0,5,2
0,8,2
0,9,2
0,13,1
0,15,1
0,16,1
0,20,2
1,23,1
1,21,2
1,19,1
1,15,2
1,13,2
1,11,1
1,7,2
1,5,2
1,4,1
1,3,2
1,1,1
2,0,1
2,5,1
2,8,1
2,13,2
2,14,2
2,15,1
2,17,2
2,20,2
2,22,1
2,23,2
3,17,2
3,15,1
3,14,1
3,12,1
3,10,2
3,5,2
3,4,1
3,2,1
4,9,1
4,10,1
4,15,2
4,22,2
5,22,2
5,20,2
5,17,2
5,14,1
5,6,2
5,4,2
5,1,1
5,0,1
6,1,1
6,8,2
6,9,1
6,12,2
6,14,1
6,16,1
6,17,2
6,20,1
6,21,2
6,23,2
7,23,2
7,20,2
7,18,1
7,13,1
7,12,2
7,11,1
7,9,1
7,3,2
7,2,1
7,1,1
8,2,2
8,4,2
8,5,1
8,17,1
8,18,1
8,19,1
8,21,2
8,22,2
9,20,1
9,17,2
9,15,1
10,0,2
10,1,1
10,2,2
10,4,1
10,6,2
10,11,2
10,15,2
10,21,2
10,22,1
10,23,1
11,23,2
11,19,1
11,12,2
11,11,1
11,6,1
11,1,2
12,0,1
12,1,2
12,2,2
12,3,1
12,10,1
12,12,1
12,13,1
12,14,2
12,15,2
12,17,2
12,18,2
12,20,1
12,21,1
12,22,1
12,23,2
13,15,2
13,13,1
13,10,1
13,2,1
13,1,1
14,2,2
14,7,2
14,20,2
15,23,2
15,22,1
15,20,1
15,17,2
15,13,1
15,12,2
15,7,1
15,0,2
