well_name,unique_id,day,rxn_id,DNA_conc,K,Mg,SecYE,Spermidine,Liposome_name,DNA_name,plate,col,row,Liposome_conc
D5,2304,2,99,2.5,185.0,14.0,0.625,0.1,DOPC--15%PE--0%Chol,FFAR4,7,4,3,3
E10,2305,2,103,2.5,85.0,8.0,0.625,4.0,DOPC--15%PE--0%Chol,FFAR4,7,9,4,3
B16,2306,2,105,5.0,185.0,8.0,0.0,0.1,DOPC--15%PE--0%Chol,FFAR4,7,15,1,3
B8,2307,2,109,5.0,85.0,14.0,0.0,4.0,DOPC--15%PE--0%Chol,FFAR4,7,7,1,3
F2,2308,2,112,2.5,185.0,8.0,0.0,0.1,DMPC--0%PE--8%Chol,FFAR4,7,1,5,3
C6,2309,2,113,2.5,85.0,14.0,0.0,0.1,DOPC--15%PE--8%Chol,FFAR4,7,5,2,3
G21,2310,2,115,2.5,185.0,8.0,0.625,0.1,DOPC--0%PE--8%Chol,FFAR4,7,20,6,3
K2,2311,2,116,2.5,85.0,14.0,0.0,4.0,DMPC--0%PE--8%Chol,FFAR4,7,1,10,3
A16,2312,2,117,2.5,185.0,8.0,0.0,4.0,DOPC--15%PE--8%Chol,FFAR4,7,15,0,3
M13,2313,2,119,2.5,85.0,14.0,0.625,4.0,DOPC--0%PE--8%Chol,FFAR4,7,12,12,3
I3,2314,2,121,5.0,185.0,14.0,0.0,0.1,DOPC--0%PE--8%Chol,FFAR4,7,2,8,3
L2,2315,2,122,5.0,185.0,14.0,0.625,0.1,DMPC--0%PE--8%Chol,FFAR4,7,1,11,3
B6,2316,2,123,5.0,85.0,8.0,0.625,0.1,DOPC--15%PE--8%Chol,FFAR4,7,5,1,3
L13,2317,2,125,5.0,85.0,8.0,0.0,4.0,DOPC--0%PE--8%Chol,FFAR4,7,12,11,3
K7,2318,2,126,5.0,85.0,8.0,0.625,4.0,DMPC--0%PE--8%Chol,FFAR4,7,6,10,3
O3,2319,2,127,5.0,185.0,14.0,0.625,4.0,DOPC--15%PE--8%Chol,FFAR4,7,2,14,3
L20,2320,2,99,2.5,185.0,14.0,0.625,0.1,DOPC--15%PE--0%Chol,FFAR4,7,19,11,3
C23,2321,2,103,2.5,85.0,8.0,0.625,4.0,DOPC--15%PE--0%Chol,FFAR4,7,22,2,3
O8,2322,2,105,5.0,185.0,8.0,0.0,0.1,DOPC--15%PE--0%Chol,FFAR4,7,7,14,3
K16,2323,2,109,5.0,85.0,14.0,0.0,4.0,DOPC--15%PE--0%Chol,FFAR4,7,15,10,3
B24,2324,2,112,2.5,185.0,8.0,0.0,0.1,DMPC--0%PE--8%Chol,FFAR4,7,23,1,3
H19,2325,2,113,2.5,85.0,14.0,0.0,0.1,DOPC--15%PE--8%Chol,FFAR4,7,18,7,3
H2,2326,2,115,2.5,185.0,8.0,0.625,0.1,DOPC--0%PE--8%Chol,FFAR4,7,1,7,3
G17,2327,2,116,2.5,85.0,14.0,0.0,4.0,DMPC--0%PE--8%Chol,FFAR4,7,16,6,3
N14,2328,2,117,2.5,185.0,8.0,0.0,4.0,DOPC--15%PE--8%Chol,FFAR4,7,13,13,3
M14,2329,2,119,2.5,85.0,14.0,0.625,4.0,DOPC--0%PE--8%Chol,FFAR4,7,13,12,3
F23,2330,2,121,5.0,185.0,14.0,0.0,0.1,DOPC--0%PE--8%Chol,FFAR4,7,22,5,3
B4,2331,2,122,5.0,185.0,14.0,0.625,0.1,DMPC--0%PE--8%Chol,FFAR4,7,3,1,3
K1,2332,2,123,5.0,85.0,8.0,0.625,0.1,DOPC--15%PE--8%Chol,FFAR4,7,0,10,3
I22,2333,2,125,5.0,85.0,8.0,0.0,4.0,DOPC--0%PE--8%Chol,FFAR4,7,21,8,3
C24,2334,2,126,5.0,85.0,8.0,0.625,4.0,DMPC--0%PE--8%Chol,FFAR4,7,23,2,3
F18,2335,2,127,5.0,185.0,14.0,0.625,4.0,DOPC--15%PE--8%Chol,FFAR4,7,17,5,3
