Row,Column,Droplet
0,4,1
0,5,2
0,8,1
0,11,2
0,12,2
0,13,1
0,15,1
0,16,2
0,18,2
0,23,2
1,22,2
1,17,1
1,16,2
1,15,1
1,14,1
1,13,2
1,12,1
1,11,1
1,10,2
1,7,1
2,2,1
2,3,1
2,9,2
2,13,1
2,16,1
2,22,2
3,23,2
3,21,2
3,19,1
3,12,2
3,11,2
3,1,2
3,0,1
4,2,1
4,3,1
4,9,1
4,12,1
4,18,2
4,20,2
5,16,1
5,15,1
5,13,1
5,6,1
5,5,2
5,4,2
5,2,2
5,1,1
5,0,2
6,1,2
6,4,2
6,6,2
6,16,2
6,20,2
7,15,2
7,11,1
7,7,1
7,3,2
8,1,2
8,8,1
8,10,2
8,11,1
8,14,1
8,15,1
8,16,2
8,17,2
8,21,2
8,22,1
8,23,2
9,21,2
9,20,1
9,16,1
9,15,2
9,13,2
9,8,2
9,6,1
9,2,1
9,1,1
9,0,1
10,4,2
10,5,1
10,17,2
11,17,2
11,14,2
11,12,1
11,9,1
11,8,1
11,5,1
11,3,2
11,1,1
12,3,1
12,5,1
12,6,1
12,11,2
12,15,1
12,16,2
12,17,2
13,16,2
13,15,1
13,14,2
13,12,1
13,11,2
13,9,2
13,7,2
13,5,2
13,4,1
14,1,2
14,2,2
14,4,1
14,11,1
14,13,2
14,14,2
14,16,1
14,20,1
14,21,1
14,23,1
15,22,2
15,20,1
15,19,1
15,16,2
15,14,2
15,13,1
15,12,2
15,11,1
15,9,2
15,7,1
15,5,1
15,2,2
15,1,1
