Row,Column,Droplet
0,0,1
0,1,1
0,3,3
0,4,1
0,6,3
0,7,3
0,8,1
0,9,3
0,10,1
0,12,1
0,13,1
0,15,1
0,16,1
0,17,1
0,18,3
0,20,3
0,21,3
0,22,1
0,23,3
1,23,1
1,22,3
1,20,3
1,19,3
1,17,3
1,16,1
1,15,1
1,14,3
1,13,3
1,11,1
1,10,1
1,9,1
1,7,1
1,6,3
1,5,1
1,4,3
1,2,1
1,1,1
1,0,3
2,0,2
2,2,3
2,3,3
2,4,1
2,5,1
2,6,1
2,7,1
2,10,1
2,11,3
2,13,2
2,14,1
2,15,3
2,17,1
2,18,1
2,19,1
2,20,1
2,21,3
2,23,3
3,23,1
3,22,3
3,21,2
3,20,1
3,19,1
3,18,1
3,17,1
3,16,1
3,15,1
3,14,3
3,13,3
3,12,1
3,11,1
3,9,2
3,8,1
3,7,1
3,6,3
3,5,3
3,2,1
4,1,1
4,2,3
4,3,3
4,5,1
4,6,3
4,7,3
4,8,3
4,9,1
4,10,2
4,11,1
4,12,3
4,13,1
4,14,3
4,15,3
4,16,1
4,17,1
4,18,1
4,19,3
4,21,1
4,23,1
5,23,1
5,22,1
5,21,3
5,18,1
5,15,1
5,12,1
5,11,3
5,10,1
5,8,1
5,7,3
5,4,1
5,1,3
5,0,3
6,0,1
6,2,1
6,5,1
6,6,1
6,7,3
6,9,1
6,11,3
6,12,2
6,13,3
6,14,1
6,15,3
6,17,2
6,18,3
6,19,3
6,20,3
6,21,2
6,22,3
7,23,3
7,22,3
7,21,1
7,19,1
7,18,1
7,17,1
7,15,3
7,14,1
7,13,1
7,10,2
7,7,3
7,6,1
7,5,1
7,3,1
7,2,1
7,0,1
8,0,3
8,1,2
8,3,2
8,4,3
8,5,1
8,6,1
8,7,1
8,9,3
8,10,1
8,11,3
8,12,1
8,13,3
8,14,3
8,16,1
8,20,1
8,22,3
8,23,3
9,23,3
9,20,2
9,19,3
9,18,1
9,16,3
9,15,2
9,14,1
9,13,1
9,12,1
9,11,2
9,10,1
9,9,3
9,8,3
9,6,1
9,3,1
9,2,1
9,1,3
10,0,3
10,1,3
10,3,1
10,5,2
10,6,2
10,8,3
10,9,1
10,10,3
10,11,1
10,12,1
10,13,3
10,14,1
10,15,3
10,16,1
10,17,3
10,18,1
10,20,1
10,21,1
10,22,1
10,23,3
11,22,3
11,21,1
11,20,3
11,19,3
11,18,1
11,17,1
11,16,1
11,15,3
11,11,1
11,10,1
11,9,1
11,8,1
11,7,1
11,6,3
11,5,3
11,4,1
11,2,1
11,0,3
12,0,2
12,3,1
12,4,1
12,5,1
12,6,3
12,7,3
12,8,3
12,9,1
12,10,1
12,11,1
12,12,3
12,14,3
12,15,3
12,16,1
12,17,3
12,18,2
12,20,3
12,21,1
12,22,1
12,23,3
13,23,1
13,22,3
13,20,1
13,19,1
13,18,1
13,17,1
13,16,2
13,15,1
13,14,1
13,13,1
13,12,1
13,11,3
13,10,3
13,9,3
13,8,3
13,7,1
13,6,2
13,5,3
13,4,1
13,3,1
13,2,3
13,1,1
13,0,1
14,1,1
14,2,2
14,3,1
14,4,1
14,5,1
14,6,1
14,7,1
14,8,2
14,9,1
14,10,3
14,11,1
14,13,1
14,14,3
14,16,3
14,17,1
14,18,1
14,19,1
14,20,3
14,21,2
14,22,3
14,23,1
15,22,3
15,20,1
15,19,3
15,17,1
15,16,3
15,15,3
15,13,1
15,12,1
15,11,1
15,9,2
15,8,1
15,7,3
15,6,3
15,5,1
15,4,1
15,3,1
15,2,3
15,1,3
15,0,1
