Row,Column,Droplet
0,2,1
0,6,2
0,12,1
0,13,2
0,15,2
0,18,2
0,20,2
1,23,2
1,22,2
1,20,1
1,19,2
1,18,2
1,17,2
1,14,2
1,13,2
1,7,1
1,6,2
1,2,1
1,0,2
2,1,2
2,3,2
2,6,2
2,15,2
2,17,2
2,21,2
2,23,2
3,23,2
3,22,2
3,18,2
3,14,2
3,13,1
3,12,1
4,0,1
4,3,2
4,5,2
4,6,2
4,7,2
4,8,2
4,12,2
4,14,1
4,15,2
4,16,2
4,18,2
4,19,1
4,20,1
5,23,2
5,21,1
5,17,2
5,12,2
5,7,1
5,2,2
5,1,1
5,0,2
6,0,2
6,1,2
6,3,2
6,7,2
6,11,2
6,13,2
6,14,2
6,20,1
7,23,1
7,20,2
7,18,2
7,9,2
7,7,1
7,5,2
7,0,2
8,0,1
8,2,2
8,4,2
8,5,2
8,7,2
8,8,2
8,9,2
8,14,2
8,15,2
8,20,2
8,23,2
9,12,1
9,9,2
9,7,1
9,4,2
9,1,2
9,0,2
10,0,1
10,4,1
10,10,2
10,17,2
10,18,2
10,21,2
11,17,1
11,14,1
11,13,1
11,5,2
11,0,2
12,3,2
12,6,1
12,8,2
12,9,2
12,11,1
12,12,2
12,23,2
13,22,1
13,21,2
13,19,2
13,17,2
13,13,2
13,11,1
13,10,2
13,9,2
13,8,1
13,5,2
14,0,1
14,6,2
14,9,2
14,11,2
14,14,2
14,16,2
14,17,1
14,22,2
15,23,2
15,21,2
15,13,2
15,8,2
15,7,2
15,6,2
15,2,2
