Row,Column,Droplet
0,2,2
0,3,2
0,7,1
0,18,2
0,20,2
1,23,2
1,22,1
1,21,1
1,18,2
1,17,2
1,16,2
1,13,2
1,12,2
1,7,1
1,3,2
1,0,2
2,0,1
2,2,1
2,4,2
2,7,1
2,8,1
2,12,2
2,13,1
2,18,2
2,20,1
2,21,1
2,23,1
3,23,2
3,19,2
3,17,1
3,13,2
3,12,2
3,8,1
3,6,1
4,0,2
4,1,2
4,4,1
4,5,2
4,6,2
4,10,2
4,12,2
4,13,1
5,22,1
5,11,1
5,10,1
5,9,2
5,7,1
5,1,2
6,1,1
6,2,1
6,3,2
6,6,1
6,7,1
6,9,2
6,12,1
6,13,1
6,18,2
6,20,2
6,21,2
6,23,2
7,22,2
7,21,1
7,20,1
7,15,2
7,13,2
7,8,1
7,7,1
7,6,1
8,2,2
8,7,1
8,12,1
8,21,1
8,22,1
9,23,1
9,20,2
9,19,1
9,18,1
9,17,2
9,16,1
9,15,1
9,10,1
9,8,1
9,7,2
9,6,1
9,3,1
9,2,2
9,0,2
10,0,1
10,1,1
10,6,2
10,7,2
10,9,1
10,10,1
10,23,1
11,22,2
11,20,2
11,19,2
11,4,1
11,2,1
11,0,2
12,0,1
12,1,2
12,6,2
12,9,1
12,11,1
12,12,2
12,18,1
12,20,2
12,21,2
13,19,2
13,18,2
13,16,2
13,13,2
13,11,1
13,9,1
13,7,1
14,1,1
14,6,1
14,15,2
14,16,1
15,22,2
15,16,2
15,12,1
15,11,2
15,10,1
15,9,2
15,8,2
15,3,2
