Row,Column,Droplet
0,5,4
0,9,4
0,12,4
0,22,4
0,23,4
1,19,4
1,17,4
1,14,4
1,8,4
1,4,4
1,2,4
1,1,4
2,6,4
2,12,4
2,15,4
2,22,4
3,23,4
3,20,4
3,19,4
3,17,4
3,16,4
3,13,4
3,10,4
3,6,4
3,2,4
4,1,4
4,2,4
4,5,4
4,13,4
4,23,4
5,21,4
5,17,4
5,10,4
5,9,4
5,8,4
5,1,4
6,0,4
6,4,4
6,7,4
6,9,4
6,10,4
6,12,4
6,13,4
6,15,4
6,18,4
7,22,4
7,20,4
7,18,4
7,17,4
7,15,4
7,7,4
7,6,4
7,2,4
8,2,4
8,3,4
8,5,4
8,11,4
8,15,4
8,17,4
8,20,4
9,20,4
9,9,4
9,5,4
9,1,4
10,3,4
11,16,4
11,11,4
11,4,4
11,3,4
12,6,4
12,8,4
12,17,4
12,23,4
13,19,4
13,16,4
13,14,4
13,7,4
13,3,4
14,11,4
14,18,4
14,23,4
15,23,4
15,20,4
15,13,4
15,12,4
15,5,4
15,4,4
15,2,4
