Row,Column,Droplet
0,0,7
0,1,3
0,2,7
0,3,3
0,4,3
0,5,3
0,6,10
0,7,7
0,8,8
0,9,3
0,10,6
0,11,4
0,12,3
0,13,6
0,14,1
0,15,6
0,16,3
0,17,8
0,18,11
0,19,10
0,20,3
0,21,7
0,22,4
0,23,4
1,23,4
1,22,8
1,21,5
1,20,10
1,19,5
1,18,2
1,17,7
1,16,3
1,15,3
1,14,4
1,13,6
1,12,3
1,11,6
1,10,3
1,9,3
1,8,4
1,7,6
1,6,6
1,5,6
1,4,2
1,3,3
1,2,10
1,1,4
1,0,4
2,0,2
2,1,11
2,2,4
2,3,3
2,4,3
2,5,4
2,6,5
2,7,8
2,8,11
2,9,7
2,10,10
2,11,6
2,12,4
2,13,11
2,14,4
2,15,3
2,16,1
2,17,4
2,18,4
2,19,6
2,20,5
2,21,3
2,22,4
2,23,3
3,23,10
3,22,7
3,21,1
3,20,11
3,19,6
3,18,6
3,17,6
3,16,11
3,15,8
3,14,3
3,13,1
3,12,6
3,11,5
3,10,1
3,9,4
3,8,7
3,7,4
3,6,3
3,5,2
3,4,7
3,3,7
3,2,2
3,1,4
3,0,10
4,0,4
4,1,4
4,2,4
4,3,1
4,4,3
4,5,6
4,6,4
4,7,11
4,8,8
4,9,1
4,10,5
4,11,3
4,12,1
4,13,5
4,14,6
4,15,3
4,16,3
4,17,4
4,18,6
4,19,6
4,20,4
4,21,3
4,22,1
4,23,7
5,23,4
5,22,4
5,21,10
5,20,6
5,19,6
5,18,4
5,17,6
5,16,11
5,15,3
5,14,10
5,13,6
5,12,3
5,11,4
5,10,1
5,9,6
5,8,3
5,7,4
5,6,4
5,5,4
5,4,6
5,3,3
5,2,4
5,1,4
5,0,3
6,0,4
6,1,7
6,2,1
6,3,7
6,4,4
6,5,1
6,6,6
6,7,4
6,8,1
6,9,6
6,10,7
6,11,4
6,12,4
6,13,10
6,14,4
6,15,6
6,16,4
6,17,3
6,18,4
6,19,6
6,20,3
6,21,3
6,22,6
6,23,3
7,23,6
7,22,10
7,21,1
7,20,4
7,19,7
7,18,3
7,17,3
7,16,6
7,15,1
7,14,11
7,13,7
7,12,6
7,11,8
7,10,4
7,9,3
7,8,1
7,7,3
7,6,4
7,5,6
7,4,6
7,3,2
7,2,6
7,1,10
7,0,3
8,0,6
8,1,6
8,2,1
8,3,4
8,4,3
8,5,3
8,6,1
8,7,6
8,8,4
8,9,6
8,10,1
8,11,11
8,12,6
8,13,11
8,14,3
8,15,3
8,16,3
8,17,5
8,18,3
8,19,6
8,20,10
8,21,4
8,22,6
8,23,2
9,23,6
9,22,4
9,21,7
9,20,6
9,19,7
9,18,1
9,17,6
9,16,3
9,15,3
9,14,4
9,13,3
9,12,10
9,11,4
9,10,3
9,9,4
9,8,1
9,7,4
9,6,3
9,5,3
9,4,3
9,3,4
9,2,6
9,1,7
9,0,3
10,0,7
10,1,1
10,2,3
10,3,6
10,4,6
10,5,10
10,6,3
10,7,1
10,8,3
10,9,4
10,10,1
10,11,6
10,12,4
10,13,4
10,14,5
10,15,4
10,16,4
10,17,3
10,18,7
10,19,6
10,20,11
10,21,3
10,22,4
10,23,3
11,23,2
11,22,4
11,21,4
11,20,6
11,19,7
11,18,7
11,17,11
11,16,2
11,15,7
11,14,6
11,13,7
11,12,5
11,11,5
11,10,4
11,9,4
11,8,2
11,7,3
11,6,2
11,5,3
11,4,1
11,3,6
11,2,7
11,1,7
11,0,6
12,0,3
12,1,4
12,2,1
12,3,3
12,4,6
12,5,10
12,6,4
12,7,3
12,8,4
12,9,3
12,10,4
12,11,3
12,12,4
12,13,4
12,14,2
12,15,3
12,16,6
12,17,4
12,18,4
12,19,3
12,20,3
12,21,3
12,22,4
12,23,4
13,23,10
13,22,7
13,21,3
13,20,11
13,19,11
13,18,6
13,17,1
13,16,4
13,15,6
13,14,6
13,13,6
13,12,2
13,11,4
13,10,1
13,9,3
13,8,10
13,7,6
13,6,3
13,5,1
13,4,3
13,3,3
13,2,7
13,1,6
13,0,3
14,0,6
14,1,3
14,2,4
14,3,10
14,4,6
14,5,4
14,6,5
14,7,7
14,8,4
14,9,3
14,10,4
14,11,5
14,12,3
14,13,10
14,14,6
14,15,1
14,16,11
14,17,3
14,18,2
14,19,6
14,20,3
14,21,6
14,22,5
14,23,7
15,23,2
15,22,6
15,21,3
15,20,6
15,19,7
15,18,3
15,17,6
15,16,6
15,15,3
15,14,10
15,13,8
15,12,10
15,11,10
15,10,3
15,9,5
15,8,4
15,7,1
15,6,10
15,5,3
15,4,2
15,3,1
15,2,3
15,1,5
15,0,6
