well_name,unique_id,DNA_name,rxn_id,DNA_conc,K,Mg,PEG,SecYE,Spermidine,Liposome_conc,Liposome_name,day,plate,col,row
G18,1152,CD81,89,5.0,85,8,0,0.0,0.1,3,DMPC--0%PE--0%Chol,2,4,17,6
F2,1153,CD81,204,2.5,85,20,0,0.0,0.1,3,DMPC--0%PE--0%Chol,2,4,1,5
M16,1154,CD81,205,2.5,85,20,0,0.0,0.1,3,DOPC--0%PE--0%Chol,2,4,15,12
D24,1155,CD81,206,2.5,85,20,0,1.25,0.1,3,DMPC--0%PE--0%Chol,2,4,23,3
J3,1156,CD81,207,2.5,185,14,0,0.0,0.1,3,DMPC--0%PE--0%Chol,2,4,2,9
E22,1157,CD81,208,2.5,185,14,0,0.0,0.1,3,DOPC--0%PE--0%Chol,2,4,21,4
O19,1158,CD81,209,2.5,185,14,0,1.25,0.1,3,DMPC--0%PE--0%Chol,2,4,18,14
I12,1159,CD81,210,2.5,185,14,0,1.25,0.1,3,DOPC--0%PE--0%Chol,2,4,11,8
B16,1160,CD81,211,2.5,235,8,0,0.625,0.1,3,DMPC--0%PE--0%Chol,2,4,15,1
K12,1161,CD81,212,2.5,235,20,0,0.625,0.1,3,DMPC--0%PE--0%Chol,2,4,11,10
C5,1162,CD81,213,2.5,235,20,0,0.625,0.1,3,DOPC--0%PE--0%Chol,2,4,4,2
O13,1163,CD81,299,5.0,85,14,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,4,12,14
B21,1164,CD81,300,5.0,85,14,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,4,20,1
E19,1165,CD81,346,2.5,85,14,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,4,18,4
L9,1166,CD81,347,2.5,185,14,0,0.0,0.1,3,DOPC--0%PE--8%Chol,2,4,8,11
D9,1167,CD81,348,2.5,185,20,0,0.0,0.1,3,DMPC--0%PE--8%Chol,2,4,8,3
L20,1168,CD81,89,5.0,85,8,0,0.0,0.1,3,DMPC--0%PE--0%Chol,2,4,19,11
E3,1169,CD81,204,2.5,85,20,0,0.0,0.1,3,DMPC--0%PE--0%Chol,2,4,2,4
H12,1170,CD81,205,2.5,85,20,0,0.0,0.1,3,DOPC--0%PE--0%Chol,2,4,11,7
D20,1171,CD81,206,2.5,85,20,0,1.25,0.1,3,DMPC--0%PE--0%Chol,2,4,19,3
K14,1172,CD81,207,2.5,185,14,0,0.0,0.1,3,DMPC--0%PE--0%Chol,2,4,13,10
L2,1173,CD81,208,2.5,185,14,0,0.0,0.1,3,DOPC--0%PE--0%Chol,2,4,1,11
A24,1174,CD81,209,2.5,185,14,0,1.25,0.1,3,DMPC--0%PE--0%Chol,2,4,23,0
B18,1175,CD81,210,2.5,185,14,0,1.25,0.1,3,DOPC--0%PE--0%Chol,2,4,17,1
M8,1176,CD81,211,2.5,235,8,0,0.625,0.1,3,DMPC--0%PE--0%Chol,2,4,7,12
K10,1177,CD81,212,2.5,235,20,0,0.625,0.1,3,DMPC--0%PE--0%Chol,2,4,9,10
P10,1178,CD81,213,2.5,235,20,0,0.625,0.1,3,DOPC--0%PE--0%Chol,2,4,9,15
