Row,Column,Droplet
0,4,2
0,15,2
0,16,2
0,17,2
0,18,2
0,23,2
1,21,2
1,19,2
1,18,2
1,16,2
1,13,2
1,10,2
1,5,2
1,3,2
1,1,2
2,0,2
2,1,2
2,4,2
2,5,2
2,7,2
2,12,2
2,13,2
2,21,2
2,23,2
3,21,2
3,17,2
3,15,2
3,10,2
3,8,2
3,6,2
3,4,2
3,0,2
4,0,2
4,7,2
4,8,2
4,11,2
4,17,2
5,23,2
5,16,2
5,7,2
5,4,2
6,12,2
6,14,2
6,18,2
6,21,2
6,22,2
7,22,2
7,21,2
7,20,2
7,18,2
7,17,2
7,11,2
8,4,2
8,14,2
8,18,2
8,20,2
9,21,2
9,20,2
9,16,2
9,14,2
9,12,2
9,10,2
9,3,2
10,3,2
10,14,2
10,19,2
11,23,2
11,20,2
11,18,2
11,12,2
11,1,2
11,0,2
12,3,2
12,5,2
12,12,2
12,16,2
13,23,2
13,21,2
13,20,2
13,19,2
13,15,2
13,9,2
13,2,2
13,0,2
14,2,2
14,6,2
14,8,2
14,10,2
14,16,2
14,18,2
15,19,2
15,17,2
15,15,2
15,11,2
15,2,2
15,0,2
