Row,Column,Droplet
0,6,2
0,7,2
0,8,2
0,9,2
0,10,2
0,19,2
0,20,2
1,23,2
1,11,2
1,2,2
2,6,2
2,16,2
2,17,2
2,18,2
2,20,2
3,22,2
3,20,2
3,19,2
3,14,2
3,9,2
3,3,2
4,2,2
4,5,2
4,6,2
4,9,2
4,10,2
4,14,2
4,18,2
4,21,2
5,22,2
5,21,2
5,20,2
5,14,2
5,12,2
5,11,2
5,10,2
5,0,2
6,2,2
6,3,2
6,7,2
6,9,2
6,10,2
6,11,2
6,16,2
6,20,2
6,23,2
7,23,2
7,13,2
7,10,2
7,5,2
7,4,2
7,0,2
8,0,2
8,1,2
8,8,2
8,9,2
8,12,2
8,21,2
8,22,2
9,18,2
9,17,2
9,11,2
9,9,2
9,2,2
9,0,2
10,1,2
10,4,2
10,6,2
10,7,2
10,8,2
10,13,2
11,19,2
11,17,2
11,7,2
11,5,2
12,2,2
12,4,2
12,6,2
12,7,2
12,10,2
12,11,2
12,14,2
12,15,2
12,22,2
13,22,2
13,17,2
13,11,2
13,10,2
13,5,2
13,4,2
13,1,2
14,9,2
14,19,2
14,22,2
15,23,2
15,12,2
