Row,Column,Droplet
0,5,2
0,14,2
0,15,2
0,20,2
1,22,2
1,20,2
1,16,2
1,10,2
1,1,2
2,1,2
2,4,2
2,7,2
2,8,2
2,10,2
2,11,2
2,18,2
2,20,2
2,21,2
3,23,2
3,16,2
3,15,2
3,13,2
3,12,2
3,11,2
3,8,2
3,4,2
4,0,2
4,1,2
4,2,2
4,5,2
4,6,2
4,13,2
4,14,2
4,16,2
4,19,2
4,21,2
5,17,2
5,14,2
5,13,2
5,12,2
5,10,2
5,6,2
5,0,2
6,2,2
6,3,2
6,5,2
6,10,2
6,14,2
6,17,2
6,20,2
7,15,2
7,5,2
7,4,2
7,2,2
7,0,2
8,1,2
8,3,2
8,5,2
8,14,2
8,21,2
9,8,2
10,0,2
10,4,2
10,5,2
10,10,2
10,15,2
11,21,2
11,16,2
11,12,2
11,9,2
11,7,2
11,3,2
11,1,2
12,5,2
12,13,2
12,15,2
12,17,2
12,18,2
12,23,2
13,22,2
13,21,2
13,17,2
13,8,2
13,2,2
14,0,2
14,1,2
14,4,2
14,13,2
14,18,2
14,19,2
14,23,2
15,22,2
15,21,2
15,15,2
15,7,2
15,6,2
