Row,Column,Droplet
0,17,2
0,18,2
0,19,2
1,23,2
1,17,2
1,13,2
1,12,2
1,11,2
1,9,2
1,7,2
1,4,2
1,2,2
1,0,2
2,0,2
2,12,2
2,14,2
2,15,2
2,16,2
2,22,2
3,22,2
3,20,2
3,10,2
3,7,2
3,6,2
3,5,2
4,7,2
4,9,2
4,15,2
4,17,2
4,18,2
4,23,2
5,23,2
5,20,2
5,8,2
5,1,2
6,1,2
6,4,2
6,12,2
6,16,2
6,22,2
6,23,2
7,20,2
7,14,2
7,13,2
7,10,2
7,9,2
7,6,2
7,3,2
7,1,2
8,2,2
8,4,2
8,6,2
8,9,2
8,11,2
8,20,2
9,19,2
9,17,2
9,16,2
9,13,2
9,12,2
9,11,2
9,1,2
10,11,2
10,13,2
10,18,2
10,20,2
11,23,2
11,22,2
11,10,2
11,8,2
11,6,2
11,0,2
12,0,2
12,1,2
12,4,2
12,12,2
12,16,2
12,19,2
12,21,2
13,19,2
13,16,2
13,9,2
13,6,2
13,0,2
14,3,2
14,5,2
14,6,2
14,9,2
14,11,2
14,15,2
14,16,2
15,20,2
15,13,2
15,8,2
15,2,2
15,0,2
