Row,Column,Droplet
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,6,2
0,8,2
0,11,2
0,12,1
0,13,1
0,14,1
0,16,2
0,17,2
0,21,1
0,23,2
1,23,1
1,22,2
1,21,1
1,19,1
1,17,2
1,15,1
1,14,2
1,13,2
1,10,2
1,9,1
1,8,1
1,5,1
1,4,2
1,3,2
1,2,1
2,0,1
2,1,2
2,2,2
2,4,1
2,5,1
2,6,1
2,7,2
2,8,2
2,9,1
2,10,2
2,11,2
2,12,2
2,13,2
2,15,1
2,17,1
2,20,2
2,21,2
2,22,1
2,23,2
3,22,2
3,20,1
3,19,1
3,18,1
3,17,2
3,16,1
3,14,2
3,12,1
3,11,1
3,10,2
3,6,2
3,5,2
3,4,2
3,3,2
3,2,1
3,1,2
4,0,1
4,1,2
4,2,2
4,5,2
4,7,1
4,9,2
4,10,2
4,12,2
4,13,2
4,15,1
4,16,2
4,17,1
4,19,1
4,20,2
4,21,2
4,22,2
4,23,1
5,23,1
5,22,1
5,21,2
5,19,1
5,18,2
5,16,2
5,15,1
5,11,2
5,10,1
5,8,1
5,7,1
5,6,2
5,5,2
5,3,1
5,2,2
5,1,2
6,1,1
6,3,2
6,4,2
6,7,1
6,9,2
6,10,2
6,12,2
6,13,1
6,14,2
6,15,1
6,16,2
6,17,2
6,18,2
6,19,1
6,20,2
6,21,2
7,23,1
7,21,2
7,20,1
7,18,2
7,17,2
7,16,1
7,13,2
7,11,2
7,9,2
7,8,2
7,6,1
7,4,2
7,3,2
7,2,1
7,1,1
7,0,1
8,1,1
8,2,2
8,3,2
8,4,1
8,5,1
8,8,2
8,9,1
8,10,2
8,11,2
8,12,2
8,13,2
8,15,1
8,17,2
8,19,1
8,21,1
8,23,1
9,19,2
9,18,2
9,17,2
9,15,1
9,12,1
9,9,2
9,8,2
9,7,1
9,6,1
9,5,1
9,4,1
9,2,1
9,1,2
9,0,2
10,1,2
10,5,1
10,6,2
10,9,2
10,11,2
10,12,1
10,13,1
10,16,2
10,19,2
10,21,2
10,22,2
10,23,2
11,23,2
11,21,2
11,19,2
11,18,1
11,17,1
11,16,1
11,15,2
11,14,1
11,13,1
11,12,2
11,10,1
11,9,2
11,8,1
11,7,1
11,6,2
11,4,1
11,3,1
11,2,2
11,1,1
12,0,2
12,1,2
12,2,1
12,3,2
12,4,1
12,6,2
12,7,1
12,9,1
12,12,2
12,15,1
12,16,2
12,18,2
12,19,2
12,21,1
12,22,2
12,23,1
13,23,1
13,22,1
13,20,1
13,19,1
13,18,1
13,17,1
13,15,2
13,13,2
13,12,1
13,11,1
13,10,2
13,9,2
13,8,2
13,7,1
13,5,1
13,3,2
13,2,1
13,0,2
14,0,1
14,1,2
14,2,2
14,3,1
14,4,2
14,7,2
14,8,1
14,10,1
14,11,2
14,12,2
14,14,2
14,15,2
14,16,2
14,17,2
14,18,2
14,19,1
14,20,2
14,21,2
14,23,1
15,22,1
15,20,2
15,19,1
15,18,2
15,17,1
15,16,1
15,15,1
15,14,2
15,13,1
15,12,2
15,10,2
15,9,2
15,8,1
15,7,2
15,5,1
15,4,1
15,2,1
15,1,1
15,0,1
