Row,Column,Droplet
0,0,2
0,3,2
0,4,2
0,6,2
0,7,2
0,8,2
0,10,2
0,11,2
0,12,2
0,16,2
0,22,2
0,23,2
1,18,2
1,15,2
1,14,2
1,3,2
2,2,2
2,9,2
2,13,2
2,17,2
2,19,2
2,23,2
3,19,2
3,9,2
3,2,2
3,1,2
4,3,2
4,8,2
4,10,2
4,11,2
4,22,2
5,22,2
5,19,2
5,18,2
5,15,2
5,9,2
5,7,2
5,4,2
5,3,2
5,2,2
6,0,2
6,7,2
6,11,2
6,21,2
7,22,2
7,21,2
7,19,2
7,16,2
7,12,2
8,0,2
8,13,2
8,15,2
8,16,2
8,17,2
8,19,2
8,22,2
9,23,2
9,21,2
9,20,2
9,18,2
9,14,2
9,10,2
9,7,2
9,6,2
9,5,2
9,2,2
10,1,2
10,6,2
10,7,2
10,14,2
10,16,2
10,23,2
11,4,2
12,3,2
12,7,2
12,11,2
12,20,2
13,20,2
13,18,2
13,15,2
13,13,2
13,12,2
13,10,2
13,7,2
14,2,2
14,8,2
14,12,2
14,17,2
14,20,2
14,21,2
14,22,2
15,18,2
15,12,2
15,5,2
15,3,2
15,1,2
