Row,Column,Droplet
0,2,2
0,4,2
0,7,2
0,11,2
0,12,2
0,14,2
0,15,2
0,16,2
0,17,2
0,21,2
1,23,2
1,22,2
1,20,2
1,18,2
1,16,2
1,11,2
1,10,2
1,9,2
1,7,2
2,5,2
2,6,2
2,16,2
2,22,2
3,22,2
3,19,2
3,9,2
3,8,2
3,1,2
4,1,2
4,3,2
4,4,2
4,7,2
4,12,2
4,14,2
4,19,2
4,23,2
5,20,2
5,18,2
5,11,2
5,10,2
5,8,2
5,7,2
5,1,2
6,0,2
6,5,2
6,10,2
6,14,2
6,17,2
6,19,2
6,21,2
7,13,2
7,11,2
7,8,2
7,4,2
7,2,2
7,1,2
7,0,2
8,0,2
8,3,2
8,4,2
8,5,2
8,7,2
8,14,2
8,17,2
9,21,2
9,16,2
10,3,2
10,4,2
10,7,2
10,9,2
10,14,2
11,14,2
11,13,2
11,12,2
12,1,2
12,7,2
12,9,2
12,11,2
12,19,2
12,20,2
12,21,2
13,9,2
13,8,2
13,4,2
14,0,2
14,6,2
14,8,2
14,11,2
14,14,2
14,15,2
14,17,2
14,21,2
14,22,2
15,21,2
15,11,2
15,4,2
