Row,Column,Droplet
0,11,2
0,12,2
0,16,2
0,21,2
0,23,2
1,22,2
1,18,2
1,17,2
1,10,2
1,8,2
1,7,2
1,6,2
1,4,2
1,3,2
2,11,2
2,12,2
2,14,2
2,16,2
2,22,2
2,23,2
3,23,2
3,21,2
3,20,2
3,15,2
3,13,2
3,9,2
3,5,2
4,2,2
4,3,2
4,12,2
4,13,2
4,17,2
5,16,2
5,15,2
5,14,2
5,4,2
5,2,2
5,1,2
6,0,2
6,2,2
6,6,2
6,8,2
6,11,2
6,14,2
6,15,2
6,17,2
6,19,2
7,12,2
7,9,2
7,7,2
7,4,2
8,2,2
8,3,2
8,7,2
8,10,2
8,11,2
8,12,2
8,13,2
8,14,2
8,20,2
8,22,2
9,23,2
9,14,2
9,10,2
9,9,2
9,8,2
9,4,2
9,1,2
10,3,2
10,4,2
10,6,2
10,8,2
11,17,2
11,14,2
11,8,2
11,4,2
11,0,2
12,1,2
12,12,2
12,16,2
12,23,2
13,21,2
13,16,2
13,14,2
13,12,2
13,11,2
13,8,2
13,5,2
13,4,2
13,3,2
14,0,2
14,11,2
14,16,2
14,22,2
15,20,2
15,2,2
