Row,Column,Droplet
0,4,2
0,5,2
0,9,2
0,13,2
0,15,2
0,18,2
0,19,2
0,20,2
0,22,2
1,23,2
1,19,2
1,16,2
1,14,2
1,13,2
1,2,2
2,2,2
2,7,2
2,9,2
2,18,2
2,21,2
3,22,2
3,18,2
3,16,2
3,10,2
3,8,2
3,7,2
3,2,2
4,8,2
4,11,2
4,14,2
4,16,2
4,21,2
4,23,2
5,22,2
5,21,2
5,18,2
5,17,2
5,11,2
5,10,2
5,9,2
5,0,2
6,1,2
6,3,2
6,13,2
6,23,2
7,22,2
7,6,2
7,5,2
7,3,2
7,1,2
7,0,2
8,0,2
8,4,2
8,5,2
8,8,2
8,18,2
8,19,2
9,20,2
9,19,2
9,12,2
9,2,2
10,9,2
10,10,2
10,11,2
10,12,2
10,18,2
10,23,2
11,23,2
11,19,2
11,13,2
11,12,2
11,9,2
11,7,2
11,3,2
11,2,2
11,1,2
12,8,2
12,15,2
12,19,2
12,21,2
12,22,2
13,23,2
13,22,2
13,15,2
13,9,2
13,0,2
14,7,2
14,8,2
14,10,2
14,18,2
14,19,2
15,23,2
15,19,2
15,8,2
15,4,2
15,1,2
