Row,Column,Droplet
0,4,2
0,13,2
0,16,2
1,19,2
1,17,2
1,16,2
1,9,2
1,7,2
1,4,2
1,1,2
2,2,2
2,7,2
2,9,2
2,11,2
2,21,2
2,23,2
3,11,2
3,9,2
3,6,2
3,3,2
4,1,2
4,9,2
4,14,2
4,15,2
4,20,2
4,23,2
5,20,2
5,18,2
5,17,2
5,16,2
5,6,2
5,3,2
6,1,2
6,6,2
6,8,2
6,11,2
6,21,2
7,22,2
7,21,2
7,18,2
7,17,2
7,16,2
7,14,2
7,9,2
7,6,2
8,10,2
8,16,2
8,20,2
8,21,2
8,23,2
9,23,2
9,20,2
9,19,2
9,18,2
9,14,2
9,12,2
9,11,2
10,2,2
10,3,2
10,10,2
10,12,2
10,14,2
10,17,2
11,23,2
11,17,2
11,15,2
11,8,2
11,7,2
11,1,2
11,0,2
12,2,2
12,3,2
12,9,2
12,12,2
12,16,2
12,18,2
12,21,2
12,23,2
13,23,2
13,17,2
13,15,2
13,7,2
13,6,2
13,4,2
13,2,2
13,0,2
14,1,2
14,3,2
14,4,2
14,9,2
14,15,2
14,18,2
15,18,2
15,15,2
15,13,2
15,7,2
