Row,Column,Droplet
0,5,2
0,8,2
0,11,2
0,12,2
0,15,2
0,17,2
0,18,2
0,23,2
1,23,2
1,15,2
1,14,2
1,13,2
1,8,2
1,2,2
2,3,2
2,5,2
2,12,2
2,17,2
2,18,2
2,22,2
3,23,2
3,20,2
3,19,2
3,10,2
3,8,2
3,7,2
3,2,2
3,1,2
4,2,2
4,4,2
4,18,2
4,21,2
5,23,2
5,11,2
5,5,2
6,7,2
6,10,2
6,13,2
6,16,2
6,20,2
6,23,2
7,20,2
7,19,2
7,7,2
7,5,2
7,3,2
7,2,2
7,1,2
8,1,2
8,2,2
8,4,2
8,8,2
8,11,2
8,12,2
8,14,2
8,17,2
9,15,2
9,9,2
9,7,2
9,6,2
9,4,2
9,2,2
10,4,2
10,7,2
10,9,2
10,11,2
10,18,2
10,23,2
11,13,2
11,11,2
11,9,2
11,6,2
11,3,2
12,6,2
12,8,2
12,10,2
12,11,2
12,13,2
12,20,2
12,22,2
13,18,2
13,13,2
13,12,2
13,11,2
13,9,2
13,5,2
14,0,2
14,5,2
14,6,2
14,7,2
14,10,2
14,17,2
15,23,2
15,19,2
15,16,2
15,10,2
