Row,Column,Droplet
0,3,2
0,4,2
0,7,2
0,9,2
0,12,2
0,21,2
1,23,2
1,22,2
1,21,2
1,18,2
1,12,2
1,11,2
1,10,2
1,7,2
1,3,2
2,2,2
2,6,2
2,9,2
2,11,2
2,13,2
2,19,2
2,20,2
3,15,2
3,14,2
3,11,2
3,6,2
3,5,2
3,4,2
3,3,2
3,0,2
4,1,2
4,9,2
4,15,2
4,18,2
4,19,2
4,21,2
5,19,2
5,14,2
5,8,2
5,7,2
5,4,2
5,2,2
6,10,2
6,13,2
6,14,2
6,18,2
6,20,2
6,23,2
7,15,2
7,13,2
7,11,2
7,6,2
7,5,2
7,4,2
7,3,2
8,2,2
8,7,2
8,9,2
9,18,2
9,14,2
9,6,2
10,0,2
10,3,2
10,8,2
10,11,2
10,14,2
10,21,2
11,22,2
11,21,2
11,16,2
11,13,2
11,12,2
11,11,2
11,10,2
11,6,2
12,0,2
12,5,2
12,9,2
12,10,2
12,12,2
12,22,2
13,8,2
13,2,2
14,2,2
14,8,2
14,9,2
14,10,2
14,17,2
14,18,2
14,20,2
14,21,2
15,21,2
15,20,2
15,18,2
15,15,2
15,13,2
