Row,Column,Droplet
0,1,4
0,2,4
0,3,4
0,4,4
0,6,4
0,8,4
0,11,4
0,13,4
0,14,4
0,17,4
0,19,4
0,23,4
1,23,4
1,21,4
1,19,4
1,17,4
1,15,4
1,14,4
1,12,4
1,11,4
1,9,4
1,7,4
1,2,4
1,0,4
2,1,4
2,2,4
2,3,4
2,6,4
2,7,4
2,9,4
2,12,4
2,13,4
2,16,4
2,18,4
2,19,4
2,20,4
2,21,4
2,23,4
3,22,4
3,21,4
3,20,4
3,18,4
3,17,4
3,16,4
3,11,4
3,9,4
3,7,4
3,5,4
3,4,4
3,3,4
3,1,4
3,0,4
4,2,4
4,4,4
4,6,4
4,8,4
4,11,4
4,12,4
4,13,4
4,14,4
4,15,4
4,16,4
4,19,4
4,22,4
5,23,4
5,22,4
5,21,4
5,20,4
5,19,4
5,16,4
5,15,4
5,14,4
5,13,4
5,12,4
5,11,4
5,10,4
5,9,4
5,7,4
5,6,4
5,5,4
5,3,4
5,0,4
6,1,4
6,3,4
6,4,4
6,5,4
6,8,4
6,11,4
6,13,4
6,16,4
6,17,4
6,18,4
6,19,4
6,21,4
6,22,4
7,21,4
7,20,4
7,19,4
7,18,4
7,17,4
7,16,4
7,4,4
7,3,4
7,2,4
7,1,4
8,1,4
8,8,4
8,9,4
8,12,4
8,13,4
8,14,4
8,17,4
8,18,4
8,20,4
8,22,4
8,23,4
9,22,4
9,18,4
9,16,4
9,14,4
9,12,4
9,11,4
9,10,4
9,7,4
9,3,4
9,1,4
10,1,4
10,2,4
10,3,4
10,6,4
10,7,4
10,8,4
10,9,4
10,10,4
10,11,4
10,13,4
10,14,4
10,15,4
10,18,4
10,22,4
10,23,4
11,23,4
11,22,4
11,18,4
11,17,4
11,15,4
11,10,4
11,9,4
11,8,4
11,7,4
11,5,4
12,0,4
12,6,4
12,7,4
12,8,4
12,9,4
12,10,4
12,12,4
12,14,4
12,17,4
12,20,4
13,23,4
13,21,4
13,14,4
13,11,4
13,9,4
13,7,4
13,6,4
13,4,4
13,3,4
13,1,4
13,0,4
14,1,4
14,2,4
14,3,4
14,7,4
14,8,4
14,9,4
14,10,4
14,16,4
14,17,4
14,20,4
14,22,4
15,22,4
15,16,4
15,15,4
15,13,4
15,12,4
15,11,4
15,10,4
15,7,4
15,4,4
15,0,4
