Row,Column,Droplet
0,3,2
0,10,2
0,15,2
0,19,2
1,23,2
1,21,2
1,12,2
1,11,2
1,9,2
2,9,2
2,13,2
2,18,2
2,23,2
3,21,2
3,18,2
3,15,2
3,14,2
3,10,2
3,6,2
3,3,2
4,0,2
4,1,2
4,3,2
4,7,2
4,11,2
4,14,2
4,18,2
4,21,2
4,22,2
5,20,2
5,18,2
5,17,2
5,11,2
5,5,2
5,1,2
6,3,2
6,6,2
6,7,2
6,10,2
6,15,2
7,20,2
7,18,2
7,17,2
7,15,2
7,6,2
7,2,2
7,1,2
7,0,2
8,2,2
8,16,2
8,17,2
8,18,2
9,21,2
9,15,2
9,14,2
9,13,2
9,11,2
9,6,2
9,5,2
9,4,2
9,1,2
10,11,2
10,13,2
10,16,2
10,19,2
10,20,2
10,23,2
11,22,2
11,20,2
11,18,2
11,17,2
11,14,2
11,12,2
11,6,2
11,2,2
12,5,2
12,12,2
12,15,2
13,18,2
13,10,2
13,8,2
13,4,2
14,0,2
14,1,2
14,3,2
14,5,2
14,10,2
14,11,2
14,16,2
14,17,2
14,18,2
14,19,2
15,20,2
15,12,2
15,10,2
15,2,2
