Row,Column,Droplet
0,0,5
0,1,4
0,2,6
0,3,8
0,4,4
0,5,2
0,6,2
0,7,5
0,8,4
0,9,2
0,10,8
0,12,1
0,14,2
0,15,2
0,16,4
0,17,4
0,18,5
0,19,7
0,21,5
0,22,5
0,23,7
1,23,6
1,22,8
1,21,1
1,20,2
1,19,2
1,18,5
1,17,1
1,16,10
1,15,3
1,14,5
1,12,8
1,11,1
1,10,1
1,9,1
1,8,1
1,7,7
1,6,8
1,5,5
1,4,5
1,3,3
1,2,10
1,0,1
2,0,8
2,1,1
2,2,5
2,3,2
2,4,2
2,5,2
2,6,1
2,7,3
2,8,1
2,9,7
2,10,6
2,11,3
2,12,1
2,13,3
2,14,1
2,15,4
2,16,5
2,17,7
2,18,4
2,19,4
2,20,5
2,21,5
2,22,6
2,23,10
3,23,5
3,22,1
3,21,6
3,20,7
3,19,6
3,18,2
3,17,1
3,16,4
3,15,2
3,14,4
3,13,6
3,12,5
3,11,10
3,10,5
3,9,1
3,8,8
3,7,2
3,6,5
3,5,10
3,4,2
3,3,1
3,2,3
3,0,1
4,0,1
4,1,5
4,2,5
4,3,7
4,4,4
4,5,1
4,6,5
4,7,5
4,8,5
4,9,6
4,10,8
4,11,1
4,12,6
4,13,4
4,14,1
4,15,3
4,16,7
4,17,5
4,18,5
4,19,1
4,21,1
4,22,3
4,23,1
5,23,8
5,22,3
5,21,8
5,20,1
5,19,7
5,18,6
5,17,2
5,16,5
5,15,5
5,14,7
5,13,2
5,12,8
5,11,4
5,10,5
5,9,1
5,8,1
5,7,4
5,6,1
5,5,5
5,4,8
5,3,2
5,2,7
5,1,1
5,0,8
6,0,1
6,1,1
6,2,4
6,3,1
6,4,6
6,5,6
6,6,5
6,7,7
6,8,7
6,9,7
6,10,8
6,11,2
6,12,1
6,13,10
6,14,6
6,15,6
6,16,2
6,17,1
6,18,1
6,19,2
6,20,1
6,21,4
6,22,3
6,23,4
7,23,5
7,22,6
7,21,6
7,20,10
7,19,2
7,18,5
7,17,5
7,16,2
7,15,10
7,14,4
7,13,5
7,12,2
7,11,2
7,9,1
7,8,4
7,7,4
7,6,2
7,5,10
7,4,2
7,3,2
7,2,1
7,1,8
7,0,2
8,0,1
8,1,8
8,2,7
8,3,2
8,4,2
8,5,5
8,6,2
8,7,7
8,8,5
8,9,6
8,10,1
8,11,5
8,12,2
8,13,4
8,14,5
8,15,2
8,16,1
8,17,1
8,18,6
8,19,1
8,20,5
8,21,1
8,22,1
8,23,8
9,23,6
9,22,5
9,21,1
9,20,2
9,19,8
9,18,5
9,17,1
9,16,5
9,15,6
9,14,4
9,13,2
9,12,4
9,11,6
9,10,1
9,9,5
9,8,6
9,7,6
9,6,8
9,5,4
9,4,4
9,3,4
9,2,3
9,1,5
9,0,7
10,0,6
10,1,6
10,2,6
10,3,6
10,4,5
10,5,5
10,6,7
10,7,4
10,8,7
10,9,1
10,10,4
10,11,3
10,12,6
10,13,1
10,14,4
10,15,2
10,18,3
10,19,5
10,20,4
10,21,1
10,22,8
10,23,6
11,23,7
11,22,3
11,21,6
11,19,6
11,18,6
11,17,5
11,16,7
11,15,6
11,14,8
11,13,3
11,12,6
11,11,5
11,10,1
11,9,5
11,8,8
11,7,7
11,5,1
11,4,1
11,3,10
11,2,2
11,1,1
11,0,6
12,0,5
12,1,6
12,2,6
12,3,8
12,4,1
12,5,4
12,6,1
12,7,3
12,8,8
12,9,3
12,10,2
12,11,3
12,12,4
12,13,2
12,14,5
12,15,5
12,16,5
12,17,6
12,18,3
12,19,5
12,20,7
12,21,6
12,22,10
12,23,1
13,23,5
13,22,1
13,21,7
13,20,6
13,19,4
13,18,6
13,17,5
13,16,3
13,15,4
13,13,6
13,12,1
13,11,8
13,10,1
13,9,5
13,8,5
13,7,5
13,5,4
13,4,4
13,3,2
13,2,8
13,1,5
13,0,1
14,0,4
14,1,10
14,2,10
14,3,8
14,4,4
14,5,4
14,6,1
14,7,4
14,8,7
14,10,5
14,11,6
14,12,5
14,13,5
14,14,1
14,16,1
14,17,8
14,18,5
14,19,8
14,21,4
14,22,2
14,23,6
15,23,4
15,22,3
15,21,2
15,20,1
15,19,2
15,18,4
15,17,6
15,16,7
15,14,6
15,13,1
15,12,5
15,11,4
15,10,7
15,9,10
15,8,5
15,6,5
15,5,5
15,4,7
15,3,1
15,2,2
15,1,7
15,0,1
