Row,Column,Droplet
0,0,2
0,12,2
1,22,2
1,21,2
1,19,2
1,17,2
1,7,2
1,3,2
2,14,2
2,21,2
3,21,2
3,17,2
3,10,2
3,8,2
3,6,2
3,0,2
4,7,2
4,8,2
4,10,2
4,15,2
4,17,2
4,20,2
5,15,2
5,14,2
5,12,2
5,9,2
5,1,2
5,0,2
6,13,2
6,16,2
6,18,2
6,20,2
6,21,2
6,22,2
7,21,2
7,20,2
7,6,2
7,5,2
7,4,2
7,1,2
7,0,2
8,2,2
8,7,2
8,8,2
8,9,2
8,15,2
8,16,2
8,20,2
8,23,2
9,20,2
9,15,2
9,8,2
9,6,2
10,0,2
10,3,2
10,15,2
10,17,2
11,23,2
11,12,2
11,6,2
11,4,2
11,3,2
11,0,2
12,1,2
12,2,2
12,4,2
12,5,2
12,8,2
12,13,2
12,17,2
12,18,2
12,19,2
12,21,2
13,17,2
13,10,2
14,0,2
14,1,2
14,2,2
14,3,2
14,6,2
14,7,2
14,10,2
14,14,2
14,19,2
14,21,2
15,23,2
15,21,2
15,19,2
15,18,2
15,14,2
15,13,2
15,12,2
15,11,2
15,6,2
15,3,2
15,2,2
