Row,Column,Droplet
0,2,4
0,7,4
0,8,4
0,14,4
1,23,4
1,20,4
1,15,4
1,12,4
1,7,4
1,2,4
2,0,4
2,4,4
2,11,4
2,14,4
2,19,4
2,23,4
3,14,4
4,7,4
4,13,4
4,15,4
4,16,4
4,17,4
4,20,4
4,22,4
5,13,4
5,3,4
5,1,4
6,5,4
6,7,4
6,11,4
6,14,4
6,22,4
6,23,4
7,17,4
7,15,4
7,4,4
7,2,4
8,7,4
8,13,4
8,15,4
8,17,4
9,18,4
9,16,4
9,11,4
9,7,4
9,2,4
10,0,4
10,2,4
10,4,4
10,14,4
10,19,4
11,22,4
11,20,4
11,15,4
11,12,4
11,11,4
11,9,4
12,1,4
12,8,4
12,12,4
13,23,4
13,18,4
13,17,4
13,14,4
13,10,4
13,8,4
13,5,4
13,1,4
14,0,4
14,4,4
14,10,4
14,12,4
14,16,4
14,17,4
14,20,4
14,21,4
15,23,4
15,20,4
15,18,4
15,17,4
15,12,4
15,7,4
15,2,4
15,1,4
