Row,Column,Droplet
0,5,2
0,6,2
0,7,2
0,9,2
0,17,2
0,19,2
0,23,2
1,23,2
1,12,2
1,9,2
1,8,2
1,6,2
2,0,2
2,3,2
2,4,2
2,5,2
2,9,2
2,23,2
3,20,2
3,19,2
3,4,2
3,3,2
4,3,2
4,4,2
4,5,2
4,9,2
4,11,2
4,12,2
4,16,2
4,18,2
4,22,2
4,23,2
5,20,2
5,18,2
5,13,2
6,0,2
6,1,2
6,3,2
6,10,2
6,11,2
6,12,2
6,14,2
6,23,2
7,16,2
7,14,2
7,12,2
7,9,2
8,5,2
8,11,2
8,12,2
8,17,2
8,19,2
8,22,2
9,23,2
9,18,2
9,13,2
9,11,2
9,9,2
9,7,2
9,1,2
10,1,2
10,2,2
10,6,2
10,7,2
10,16,2
10,21,2
10,23,2
11,18,2
11,16,2
11,14,2
11,13,2
11,1,2
12,6,2
12,9,2
12,12,2
12,14,2
12,15,2
13,19,2
13,18,2
13,15,2
13,14,2
13,7,2
13,5,2
13,4,2
13,3,2
13,2,2
14,5,2
14,8,2
14,11,2
14,15,2
14,22,2
15,22,2
15,20,2
15,17,2
15,7,2
15,4,2
