Row,Column,Droplet
0,1,4
0,2,2
0,3,2
0,4,2
0,5,4
0,6,4
0,7,4
0,8,4
0,9,4
0,10,2
0,11,2
0,14,4
0,15,4
0,17,4
0,18,2
0,20,2
0,21,2
0,22,4
1,19,2
1,18,4
1,16,4
1,15,2
1,14,2
1,13,4
1,12,4
1,11,2
1,9,2
1,8,4
1,7,2
1,5,4
1,4,2
1,2,4
1,1,2
1,0,4
2,0,4
2,1,4
2,3,2
2,4,4
2,5,4
2,6,4
2,7,4
2,8,4
2,10,4
2,11,4
2,12,4
2,13,4
2,15,4
2,16,4
2,17,4
2,18,4
2,20,4
2,22,4
2,23,4
3,23,4
3,22,4
3,21,2
3,20,4
3,19,4
3,18,4
3,13,4
3,12,4
3,9,2
3,8,2
3,7,4
3,6,2
3,5,4
3,1,4
4,0,2
4,1,2
4,2,4
4,3,4
4,4,4
4,6,4
4,7,2
4,9,4
4,11,2
4,12,2
4,13,4
4,14,2
4,17,2
4,19,4
4,20,2
4,21,4
4,23,4
5,23,4
5,22,4
5,21,2
5,19,4
5,18,2
5,17,4
5,16,4
5,15,2
5,12,2
5,11,4
5,10,4
5,8,4
5,7,2
5,6,2
5,5,4
5,4,4
5,2,2
5,1,2
5,0,2
6,0,4
6,2,2
6,3,4
6,4,4
6,5,4
6,8,2
6,9,4
6,10,4
6,11,4
6,12,4
6,13,2
6,17,4
6,19,4
6,20,2
6,21,2
6,23,4
7,22,4
7,21,2
7,18,4
7,17,4
7,16,4
7,13,4
7,12,4
7,11,4
7,10,2
7,9,4
7,7,4
7,4,2
7,0,2
8,0,2
8,1,4
8,2,2
8,4,4
8,6,2
8,10,2
8,11,4
8,12,2
8,13,4
8,14,4
8,15,2
8,17,4
8,18,4
8,19,2
9,23,2
9,22,4
9,20,2
9,19,4
9,18,4
9,17,4
9,16,4
9,15,2
9,14,2
9,11,4
9,10,2
9,9,2
9,8,2
9,7,4
9,6,2
9,5,2
9,4,2
9,3,4
9,2,4
9,1,4
9,0,4
10,0,2
10,2,4
10,4,2
10,5,2
10,6,4
10,7,2
10,9,4
10,10,4
10,11,4
10,13,2
10,16,4
10,18,4
10,19,4
10,20,4
10,21,2
10,23,4
11,22,2
11,19,2
11,18,4
11,17,2
11,14,4
11,11,4
11,10,4
11,9,4
11,7,4
11,5,4
11,4,2
11,1,2
12,0,4
12,2,2
12,3,4
12,4,2
12,7,4
12,9,4
12,10,2
12,11,4
12,13,2
12,15,2
12,18,2
12,21,2
12,22,4
12,23,4
13,21,4
13,20,4
13,19,2
13,18,4
13,16,4
13,15,4
13,14,4
13,12,4
13,9,4
13,7,2
13,6,4
13,5,4
13,4,4
13,2,2
14,3,2
14,4,4
14,5,4
14,9,2
14,10,2
14,13,4
14,14,2
14,18,2
14,20,4
14,22,4
15,23,2
15,21,2
15,18,2
15,17,4
15,16,4
15,15,4
15,12,2
15,11,2
15,10,4
15,8,4
15,6,2
15,5,4
15,4,4
15,1,4
15,0,4
