well_name,unique_id,DNA_name,rxn_id,Mg,SecYE,K,PEG,Liposome_name,DNA_conc,Liposome_conc,day,plate,col,row
B5,0,Cx43,84,8,0.0,135,1,DMPC,5,3,1,1,4,1
D13,1,Cx43,85,8,0.0,135,2,DMPC,5,3,1,1,12,3
O21,2,Cx43,86,8,0.0,135,2,DOPC,5,3,1,1,20,14
C23,3,Cx43,87,8,0.0,185,2,DMPC,5,3,1,1,22,2
L12,4,Cx43,88,8,0.0,185,2,DOPC,5,3,1,1,11,11
N12,5,Cx43,89,8,1.25,85,0,DMPC,5,3,1,1,11,13
P6,6,Cx43,90,8,1.25,85,2,DMPC,5,3,1,1,5,15
K14,7,Cx43,91,14,0.0,135,1,DMPC,5,3,1,1,13,10
C18,8,Cx43,92,14,0.0,135,2,DMPC,5,3,1,1,17,2
A12,9,Cx43,93,14,0.0,185,1,DMPC,5,3,1,1,11,0
F12,10,Cx43,94,14,0.0,185,2,DMPC,5,3,1,1,11,5
C8,11,Cx43,95,14,1.25,85,2,DMPC,5,3,1,1,7,2
J11,12,Cx43,84,8,0.0,135,1,DMPC,5,3,1,1,10,9
F11,13,Cx43,85,8,0.0,135,2,DMPC,5,3,1,1,10,5
I14,14,Cx43,86,8,0.0,135,2,DOPC,5,3,1,1,13,8
D24,15,Cx43,87,8,0.0,185,2,DMPC,5,3,1,1,23,3
K20,16,Cx43,88,8,0.0,185,2,DOPC,5,3,1,1,19,10
J13,17,Cx43,89,8,1.25,85,0,DMPC,5,3,1,1,12,9
H12,18,Cx43,90,8,1.25,85,2,DMPC,5,3,1,1,11,7
I1,19,Cx43,91,14,0.0,135,1,DMPC,5,3,1,1,0,8
C16,20,Cx43,92,14,0.0,135,2,DMPC,5,3,1,1,15,2
G3,21,Cx43,93,14,0.0,185,1,DMPC,5,3,1,1,2,6
C21,22,Cx43,94,14,0.0,185,2,DMPC,5,3,1,1,20,2
F23,23,Cx43,95,14,1.25,85,2,DMPC,5,3,1,1,22,5
J6,24,Cx43,84,8,0.0,135,1,DMPC,5,3,1,1,5,9
B17,25,Cx43,85,8,0.0,135,2,DMPC,5,3,1,1,16,1
A15,26,Cx43,86,8,0.0,135,2,DOPC,5,3,1,1,14,0
B6,27,Cx43,87,8,0.0,185,2,DMPC,5,3,1,1,5,1
H18,28,Cx43,88,8,0.0,185,2,DOPC,5,3,1,1,17,7
L3,29,Cx43,89,8,1.25,85,0,DMPC,5,3,1,1,2,11
I5,30,Cx43,90,8,1.25,85,2,DMPC,5,3,1,1,4,8
L18,31,Cx43,91,14,0.0,135,1,DMPC,5,3,1,1,17,11
P16,32,Cx43,92,14,0.0,135,2,DMPC,5,3,1,1,15,15
H11,33,Cx43,93,14,0.0,185,1,DMPC,5,3,1,1,10,7
F18,34,Cx43,94,14,0.0,185,2,DMPC,5,3,1,1,17,5
F24,35,Cx43,95,14,1.25,85,2,DMPC,5,3,1,1,23,5
B12,36,Cx43,84,8,0.0,135,1,DMPC,5,3,1,1,11,1
F17,37,Cx43,85,8,0.0,135,2,DMPC,5,3,1,1,16,5
G6,38,Cx43,86,8,0.0,135,2,DOPC,5,3,1,1,5,6
C9,39,Cx43,87,8,0.0,185,2,DMPC,5,3,1,1,8,2
C12,40,Cx43,88,8,0.0,185,2,DOPC,5,3,1,1,11,2
I4,41,Cx43,89,8,1.25,85,0,DMPC,5,3,1,1,3,8
K19,42,Cx43,90,8,1.25,85,2,DMPC,5,3,1,1,18,10
E1,43,Cx43,91,14,0.0,135,1,DMPC,5,3,1,1,0,4
L6,44,Cx43,92,14,0.0,135,2,DMPC,5,3,1,1,5,11
A22,45,Cx43,93,14,0.0,185,1,DMPC,5,3,1,1,21,0
D23,46,Cx43,94,14,0.0,185,2,DMPC,5,3,1,1,22,3
M8,47,Cx43,95,14,1.25,85,2,DMPC,5,3,1,1,7,12
A19,48,Cx43,84,8,0.0,135,1,no_lipo,5,3,1,1,18,0
M23,49,Cx43,85,8,0.0,135,2,no_lipo,5,3,1,1,22,12
I15,50,Cx43,86,8,0.0,135,2,no_lipo,5,3,1,1,14,8
K10,51,Cx43,87,8,0.0,185,2,no_lipo,5,3,1,1,9,10
D2,52,Cx43,88,8,0.0,185,2,no_lipo,5,3,1,1,1,3
M21,53,Cx43,89,8,1.25,85,0,no_lipo,5,3,1,1,20,12
J18,54,Cx43,90,8,1.25,85,2,no_lipo,5,3,1,1,17,9
O10,55,Cx43,91,14,0.0,135,1,no_lipo,5,3,1,1,9,14
N10,56,Cx43,92,14,0.0,135,2,no_lipo,5,3,1,1,9,13
J15,57,Cx43,93,14,0.0,185,1,no_lipo,5,3,1,1,14,9
N7,58,Cx43,94,14,0.0,185,2,no_lipo,5,3,1,1,6,13
I19,59,Cx43,95,14,1.25,85,2,no_lipo,5,3,1,1,18,8
A4,60,Cx43,84,8,0.0,135,1,no_lipo,5,3,1,1,3,0
M24,61,Cx43,85,8,0.0,135,2,no_lipo,5,3,1,1,23,12
C2,62,Cx43,86,8,0.0,135,2,no_lipo,5,3,1,1,1,2
G20,63,Cx43,87,8,0.0,185,2,no_lipo,5,3,1,1,19,6
P1,64,Cx43,88,8,0.0,185,2,no_lipo,5,3,1,1,0,15
N1,65,Cx43,89,8,1.25,85,0,no_lipo,5,3,1,1,0,13
K21,66,Cx43,90,8,1.25,85,2,no_lipo,5,3,1,1,20,10
G9,67,Cx43,91,14,0.0,135,1,no_lipo,5,3,1,1,8,6
A23,68,Cx43,92,14,0.0,135,2,no_lipo,5,3,1,1,22,0
B2,69,Cx43,93,14,0.0,185,1,no_lipo,5,3,1,1,1,1
P17,70,Cx43,94,14,0.0,185,2,no_lipo,5,3,1,1,16,15
J4,71,Cx43,95,14,1.25,85,2,no_lipo,5,3,1,1,3,9
L20,72,Cx43,84,8,0.0,135,1,no_lipo,5,3,1,1,19,11
N21,73,Cx43,85,8,0.0,135,2,no_lipo,5,3,1,1,20,13
P11,74,Cx43,86,8,0.0,135,2,no_lipo,5,3,1,1,10,15
D14,75,Cx43,87,8,0.0,185,2,no_lipo,5,3,1,1,13,3
E22,76,Cx43,88,8,0.0,185,2,no_lipo,5,3,1,1,21,4
I22,77,Cx43,89,8,1.25,85,0,no_lipo,5,3,1,1,21,8
H23,78,Cx43,90,8,1.25,85,2,no_lipo,5,3,1,1,22,7
D10,79,Cx43,91,14,0.0,135,1,no_lipo,5,3,1,1,9,3
F5,80,Cx43,92,14,0.0,135,2,no_lipo,5,3,1,1,4,5
A11,81,Cx43,93,14,0.0,185,1,no_lipo,5,3,1,1,10,0
C14,82,Cx43,94,14,0.0,185,2,no_lipo,5,3,1,1,13,2
N22,83,Cx43,95,14,1.25,85,2,no_lipo,5,3,1,1,21,13
A5,84,Cx43,84,8,0.0,135,1,no_lipo,5,3,1,1,4,0
K12,85,Cx43,85,8,0.0,135,2,no_lipo,5,3,1,1,11,10
J1,86,Cx43,86,8,0.0,135,2,no_lipo,5,3,1,1,0,9
L11,87,Cx43,87,8,0.0,185,2,no_lipo,5,3,1,1,10,11
M1,88,Cx43,88,8,0.0,185,2,no_lipo,5,3,1,1,0,12
L9,89,Cx43,89,8,1.25,85,0,no_lipo,5,3,1,1,8,11
E7,90,Cx43,90,8,1.25,85,2,no_lipo,5,3,1,1,6,4
A21,91,Cx43,91,14,0.0,135,1,no_lipo,5,3,1,1,20,0
A2,92,Cx43,92,14,0.0,135,2,no_lipo,5,3,1,1,1,0
I7,93,Cx43,93,14,0.0,185,1,no_lipo,5,3,1,1,6,8
E3,94,Cx43,94,14,0.0,185,2,no_lipo,5,3,1,1,2,4
C11,95,Cx43,95,14,1.25,85,2,no_lipo,5,3,1,1,10,2
I2,96,OR2AG1,168,8,0.0,85,2,DMPC,5,3,1,1,1,8
N13,97,OR2AG1,169,8,0.0,185,2,DMPC,5,3,1,1,12,13
C20,98,OR2AG1,170,14,0.0,85,0,DOPC,5,3,1,1,19,2
H24,99,OR2AG1,171,14,0.0,135,0,DMPC,5,3,1,1,23,7
K15,100,OR2AG1,172,14,0.0,135,0,DOPC,5,3,1,1,14,10
F8,101,OR2AG1,173,14,0.0,185,1,DMPC,5,3,1,1,7,5
K11,102,OR2AG1,174,14,0.0,185,2,DMPC,5,3,1,1,10,10
J3,103,OR2AG1,175,14,0.0,185,2,DOPC,5,3,1,1,2,9
P2,104,OR2AG1,176,14,1.25,185,2,DOPC,5,3,1,1,1,15
G8,105,OR2AG1,177,20,0.0,85,0,DOPC,5,3,1,1,7,6
B16,106,OR2AG1,178,20,0.0,85,1,DOPC,5,3,1,1,15,1
H16,107,OR2AG1,179,20,0.0,135,0,DOPC,5,3,1,1,15,7
F9,108,OR2AG1,168,8,0.0,85,2,DMPC,5,3,1,1,8,5
G5,109,OR2AG1,169,8,0.0,185,2,DMPC,5,3,1,1,4,6
O17,110,OR2AG1,170,14,0.0,85,0,DOPC,5,3,1,1,16,14
K9,111,OR2AG1,171,14,0.0,135,0,DMPC,5,3,1,1,8,10
O18,112,OR2AG1,172,14,0.0,135,0,DOPC,5,3,1,1,17,14
K6,113,OR2AG1,173,14,0.0,185,1,DMPC,5,3,1,1,5,10
B19,114,OR2AG1,174,14,0.0,185,2,DMPC,5,3,1,1,18,1
E14,115,OR2AG1,175,14,0.0,185,2,DOPC,5,3,1,1,13,4
O5,116,OR2AG1,176,14,1.25,185,2,DOPC,5,3,1,1,4,14
L16,117,OR2AG1,177,20,0.0,85,0,DOPC,5,3,1,1,15,11
A3,118,OR2AG1,178,20,0.0,85,1,DOPC,5,3,1,1,2,0
H3,119,OR2AG1,179,20,0.0,135,0,DOPC,5,3,1,1,2,7
C7,120,OR2AG1,168,8,0.0,85,2,DMPC,5,3,1,1,6,2
J23,121,OR2AG1,169,8,0.0,185,2,DMPC,5,3,1,1,22,9
F4,122,OR2AG1,170,14,0.0,85,0,DOPC,5,3,1,1,3,5
A14,123,OR2AG1,171,14,0.0,135,0,DMPC,5,3,1,1,13,0
N9,124,OR2AG1,172,14,0.0,135,0,DOPC,5,3,1,1,8,13
B15,125,OR2AG1,173,14,0.0,185,1,DMPC,5,3,1,1,14,1
M4,126,OR2AG1,174,14,0.0,185,2,DMPC,5,3,1,1,3,12
A9,127,OR2AG1,175,14,0.0,185,2,DOPC,5,3,1,1,8,0
L10,128,OR2AG1,176,14,1.25,185,2,DOPC,5,3,1,1,9,11
N24,129,OR2AG1,177,20,0.0,85,0,DOPC,5,3,1,1,23,13
L23,130,OR2AG1,178,20,0.0,85,1,DOPC,5,3,1,1,22,11
O13,131,OR2AG1,179,20,0.0,135,0,DOPC,5,3,1,1,12,14
J20,132,OR2AG1,168,8,0.0,85,2,DMPC,5,3,1,1,19,9
P9,133,OR2AG1,169,8,0.0,185,2,DMPC,5,3,1,1,8,15
B21,134,OR2AG1,170,14,0.0,85,0,DOPC,5,3,1,1,20,1
J22,135,OR2AG1,171,14,0.0,135,0,DMPC,5,3,1,1,21,9
N2,136,OR2AG1,172,14,0.0,135,0,DOPC,5,3,1,1,1,13
I11,137,OR2AG1,173,14,0.0,185,1,DMPC,5,3,1,1,10,8
C19,138,OR2AG1,174,14,0.0,185,2,DMPC,5,3,1,1,18,2
J17,139,OR2AG1,175,14,0.0,185,2,DOPC,5,3,1,1,16,9
B3,140,OR2AG1,176,14,1.25,185,2,DOPC,5,3,1,1,2,1
L21,141,OR2AG1,177,20,0.0,85,0,DOPC,5,3,1,1,20,11
K5,142,OR2AG1,178,20,0.0,85,1,DOPC,5,3,1,1,4,10
D15,143,OR2AG1,179,20,0.0,135,0,DOPC,5,3,1,1,14,3
E20,144,OR2AG1,168,8,0.0,85,2,no_lipo,5,3,1,1,19,4
M12,145,OR2AG1,169,8,0.0,185,2,no_lipo,5,3,1,1,11,12
D12,146,OR2AG1,170,14,0.0,85,0,no_lipo,5,3,1,1,11,3
N23,147,OR2AG1,171,14,0.0,135,0,no_lipo,5,3,1,1,22,13
G16,148,OR2AG1,172,14,0.0,135,0,no_lipo,5,3,1,1,15,6
E2,149,OR2AG1,173,14,0.0,185,1,no_lipo,5,3,1,1,1,4
H8,150,OR2AG1,174,14,0.0,185,2,no_lipo,5,3,1,1,7,7
C13,151,OR2AG1,175,14,0.0,185,2,no_lipo,5,3,1,1,12,2
B14,152,OR2AG1,176,14,1.25,185,2,no_lipo,5,3,1,1,13,1
D16,153,OR2AG1,177,20,0.0,85,0,no_lipo,5,3,1,1,15,3
O19,154,OR2AG1,178,20,0.0,85,1,no_lipo,5,3,1,1,18,14
H9,155,OR2AG1,179,20,0.0,135,0,no_lipo,5,3,1,1,8,7
G18,156,OR2AG1,168,8,0.0,85,2,no_lipo,5,3,1,1,17,6
D6,157,OR2AG1,169,8,0.0,185,2,no_lipo,5,3,1,1,5,3
A17,158,OR2AG1,170,14,0.0,85,0,no_lipo,5,3,1,1,16,0
B11,159,OR2AG1,171,14,0.0,135,0,no_lipo,5,3,1,1,10,1
D17,160,OR2AG1,172,14,0.0,135,0,no_lipo,5,3,1,1,16,3
E15,161,OR2AG1,173,14,0.0,185,1,no_lipo,5,3,1,1,14,4
C17,162,OR2AG1,174,14,0.0,185,2,no_lipo,5,3,1,1,16,2
D19,163,OR2AG1,175,14,0.0,185,2,no_lipo,5,3,1,1,18,3
N17,164,OR2AG1,176,14,1.25,185,2,no_lipo,5,3,1,1,16,13
L22,165,OR2AG1,177,20,0.0,85,0,no_lipo,5,3,1,1,21,11
J5,166,OR2AG1,178,20,0.0,85,1,no_lipo,5,3,1,1,4,9
H4,167,OR2AG1,179,20,0.0,135,0,no_lipo,5,3,1,1,3,7
F20,168,OR2AG1,168,8,0.0,85,2,no_lipo,5,3,1,1,19,5
F6,169,OR2AG1,169,8,0.0,185,2,no_lipo,5,3,1,1,5,5
M17,170,OR2AG1,170,14,0.0,85,0,no_lipo,5,3,1,1,16,12
P10,171,OR2AG1,171,14,0.0,135,0,no_lipo,5,3,1,1,9,15
K13,172,OR2AG1,172,14,0.0,135,0,no_lipo,5,3,1,1,12,10
M11,173,OR2AG1,173,14,0.0,185,1,no_lipo,5,3,1,1,10,12
