Row,Column,Droplet
0,1,4
0,3,4
0,4,4
0,6,4
0,7,4
0,8,4
0,11,4
0,13,4
0,14,4
0,16,4
0,23,4
1,23,4
1,22,4
1,20,4
1,18,4
1,17,4
1,14,4
1,10,4
1,7,4
1,5,4
1,4,4
1,3,4
1,2,4
1,0,4
2,3,4
2,5,4
2,6,4
2,7,4
2,11,4
2,13,4
2,14,4
2,15,4
2,16,4
2,18,4
2,19,4
2,20,4
2,21,4
2,23,4
3,22,4
3,19,4
3,17,4
3,15,4
3,14,4
3,13,4
3,10,4
3,8,4
3,6,4
3,5,4
4,2,4
4,3,4
4,4,4
4,7,4
4,8,4
4,9,4
4,13,4
4,16,4
4,18,4
4,19,4
4,20,4
4,22,4
4,23,4
5,21,4
5,19,4
5,18,4
5,17,4
5,16,4
5,12,4
5,11,4
5,10,4
5,8,4
5,5,4
5,3,4
5,1,4
6,1,4
6,2,4
6,3,4
6,9,4
6,10,4
6,17,4
6,18,4
6,19,4
6,20,4
6,21,4
6,23,4
7,23,4
7,22,4
7,21,4
7,18,4
7,16,4
7,15,4
7,14,4
7,12,4
7,11,4
7,10,4
7,9,4
7,7,4
7,4,4
7,2,4
8,0,4
8,6,4
8,8,4
8,9,4
8,10,4
8,11,4
8,12,4
8,15,4
8,19,4
8,20,4
8,21,4
8,22,4
9,23,4
9,22,4
9,20,4
9,15,4
9,13,4
9,11,4
9,9,4
9,4,4
9,0,4
10,0,4
10,3,4
10,7,4
10,8,4
10,9,4
10,10,4
10,11,4
10,13,4
10,14,4
10,16,4
10,17,4
10,18,4
10,19,4
10,21,4
10,23,4
11,21,4
11,19,4
11,18,4
11,17,4
11,16,4
11,12,4
11,11,4
11,10,4
11,7,4
11,5,4
11,4,4
11,2,4
12,0,4
12,1,4
12,6,4
12,8,4
12,9,4
12,10,4
12,11,4
12,13,4
12,15,4
12,18,4
12,22,4
12,23,4
13,21,4
13,19,4
13,15,4
13,11,4
13,10,4
13,8,4
13,7,4
13,3,4
13,2,4
14,0,4
14,1,4
14,2,4
14,4,4
14,5,4
14,6,4
14,9,4
14,11,4
14,12,4
14,13,4
14,18,4
14,20,4
14,22,4
14,23,4
15,22,4
15,20,4
15,18,4
15,17,4
15,12,4
15,10,4
15,9,4
15,8,4
15,7,4
15,4,4
15,1,4
