Row,Column,Droplet
0,0,2
0,1,2
0,8,2
0,11,2
0,15,2
0,17,2
0,19,2
0,23,2
1,23,2
1,22,2
1,21,2
1,19,2
1,18,2
1,17,2
1,16,2
1,12,2
1,9,2
1,4,2
2,2,2
2,8,2
2,12,2
2,19,2
3,20,2
3,19,2
3,16,2
3,14,2
3,12,2
3,9,2
3,3,2
3,0,2
4,0,2
4,1,2
4,3,2
4,7,2
4,11,2
4,17,2
4,20,2
4,21,2
5,19,2
5,14,2
5,13,2
5,4,2
6,13,2
6,17,2
6,20,2
7,20,2
7,14,2
7,3,2
7,1,2
7,0,2
8,4,2
8,8,2
8,10,2
8,17,2
8,23,2
9,18,2
9,15,2
9,12,2
9,9,2
9,7,2
9,3,2
10,1,2
10,6,2
10,7,2
10,8,2
10,10,2
10,11,2
11,18,2
11,17,2
11,11,2
11,10,2
11,3,2
12,1,2
12,5,2
12,8,2
12,9,2
13,20,2
13,19,2
13,16,2
13,2,2
13,1,2
14,2,2
14,5,2
14,6,2
14,7,2
14,9,2
14,13,2
14,19,2
14,20,2
15,22,2
15,20,2
15,16,2
15,15,2
15,10,2
15,9,2
15,7,2
