Row,Column,Droplet
0,2,2
0,3,2
0,5,2
0,6,2
0,14,2
0,18,2
0,20,2
1,8,2
1,5,2
1,3,2
2,1,2
2,4,2
2,9,2
2,15,2
2,16,2
3,23,2
3,21,2
3,18,2
3,15,2
3,10,2
3,5,2
4,2,2
4,4,2
4,5,2
4,8,2
4,10,2
4,12,2
4,14,2
4,19,2
5,12,2
5,10,2
5,2,2
5,0,2
6,2,2
6,6,2
6,7,2
6,9,2
6,14,2
6,19,2
7,19,2
7,9,2
7,8,2
7,6,2
7,5,2
7,2,2
8,0,2
8,3,2
8,5,2
8,6,2
8,7,2
8,14,2
8,15,2
8,16,2
8,18,2
8,19,2
8,21,2
9,22,2
9,20,2
9,16,2
9,14,2
9,13,2
9,5,2
9,2,2
10,3,2
10,15,2
10,18,2
10,19,2
10,23,2
11,20,2
11,19,2
11,4,2
11,2,2
11,1,2
11,0,2
12,12,2
12,18,2
12,20,2
13,23,2
13,22,2
13,11,2
13,7,2
13,4,2
13,3,2
14,0,2
14,1,2
14,4,2
14,10,2
14,12,2
14,16,2
14,17,2
14,21,2
15,19,2
15,13,2
15,8,2
15,6,2
15,3,2
