Row,Column,Droplet
0,4,2
0,7,2
0,12,2
0,13,2
1,20,2
1,14,2
1,11,2
1,7,2
2,0,2
2,3,2
2,6,2
2,7,2
2,10,2
2,11,2
2,13,2
2,14,2
2,17,2
2,18,2
2,20,2
2,22,2
3,22,2
3,11,2
3,8,2
3,6,2
3,1,2
4,16,2
4,23,2
5,23,2
5,21,2
5,18,2
5,15,2
5,9,2
5,8,2
5,6,2
5,5,2
5,1,2
6,1,2
6,10,2
6,11,2
6,16,2
6,18,2
6,22,2
6,23,2
7,23,2
7,12,2
7,10,2
7,7,2
7,4,2
8,9,2
8,22,2
9,23,2
9,17,2
9,8,2
9,6,2
9,1,2
9,0,2
10,2,2
10,4,2
10,9,2
10,12,2
10,13,2
10,20,2
10,21,2
11,23,2
11,15,2
11,12,2
11,9,2
11,8,2
11,5,2
12,4,2
12,6,2
12,7,2
12,10,2
12,14,2
12,16,2
12,22,2
12,23,2
13,21,2
13,18,2
13,15,2
13,14,2
13,13,2
13,8,2
13,6,2
13,5,2
14,11,2
14,14,2
14,18,2
14,22,2
14,23,2
15,23,2
15,18,2
15,17,2
15,12,2
15,11,2
15,1,2
