Row,Column,Droplet
0,9,2
0,10,2
0,16,2
0,21,2
0,22,2
1,15,2
1,13,2
1,10,2
1,6,2
1,2,2
1,1,2
1,0,2
2,5,2
2,21,2
2,23,2
3,17,2
3,13,2
3,7,2
3,4,2
3,2,2
4,6,2
4,9,2
4,13,2
4,15,2
4,18,2
4,22,2
5,22,2
5,20,2
5,17,2
5,16,2
5,11,2
5,7,2
5,3,2
6,0,2
6,3,2
6,4,2
6,5,2
6,8,2
6,12,2
6,15,2
6,21,2
7,22,2
7,21,2
7,18,2
7,17,2
7,16,2
7,15,2
7,13,2
7,11,2
8,1,2
8,2,2
8,11,2
8,12,2
8,13,2
8,20,2
9,21,2
9,19,2
9,11,2
9,10,2
9,4,2
10,0,2
10,5,2
10,14,2
10,16,2
10,17,2
10,22,2
11,22,2
11,21,2
11,16,2
11,14,2
11,13,2
11,7,2
11,6,2
12,0,2
12,2,2
12,3,2
12,11,2
12,13,2
12,15,2
12,17,2
12,19,2
12,21,2
13,17,2
13,12,2
13,10,2
13,9,2
13,0,2
14,3,2
14,8,2
14,15,2
15,21,2
15,14,2
15,5,2
15,4,2
15,2,2
15,0,2
