Row,Column,Droplet
0,6,2
0,7,2
0,10,2
0,12,2
0,18,2
0,19,2
1,23,2
1,21,2
1,18,2
1,13,2
1,12,2
1,8,2
1,5,2
1,2,2
2,5,2
2,6,2
2,7,2
3,20,2
3,16,2
3,14,2
3,12,2
3,1,2
3,0,2
4,0,2
4,11,2
4,18,2
4,22,2
5,22,2
5,19,2
5,18,2
5,12,2
5,6,2
5,5,2
5,4,2
5,3,2
5,2,2
6,0,2
6,2,2
6,7,2
6,10,2
6,14,2
6,15,2
6,17,2
7,23,2
7,20,2
7,14,2
7,11,2
7,7,2
8,0,2
8,13,2
8,14,2
8,17,2
8,20,2
9,22,2
9,19,2
9,13,2
9,11,2
9,8,2
9,3,2
9,1,2
10,4,2
10,14,2
10,17,2
10,18,2
10,21,2
11,23,2
11,15,2
11,3,2
11,2,2
11,1,2
11,0,2
12,0,2
12,4,2
12,7,2
12,11,2
12,13,2
12,16,2
12,22,2
13,15,2
13,13,2
13,7,2
13,5,2
13,1,2
14,0,2
14,5,2
14,7,2
14,8,2
14,11,2
14,13,2
14,20,2
15,23,2
15,22,2
15,20,2
15,19,2
15,9,2
15,7,2
