well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row
M8,0,0,CD63,5.0,DMPC,3,20,0.0,185,1,0,4,0,1,7,12
E20,1,1,CD63,5.0,DOPC,3,8,1.25,85,1,0,4,0,1,19,4
N7,2,2,CD63,5.0,DMPC,3,14,1.25,85,2,0,4,0,1,6,13
P21,3,3,CD63,5.0,DOPC,3,14,0.0,185,2,0,4,0,1,20,15
L18,4,4,CD63,5.0,DMPC,3,14,0.0,185,1,0,4,0,1,17,11
I18,5,5,CD63,5.0,DMPC,3,14,1.25,185,1,0,4,0,1,17,8
H12,6,6,CD63,5.0,DOPC,3,20,0.0,185,0,0,4,0,1,11,7
G12,7,7,CD63,5.0,DMPC,3,14,0.0,135,0,0,4,0,1,11,6
B11,8,8,CD63,5.0,DOPC,3,14,0.0,85,0,0,4,0,1,10,1
I4,9,9,CD81,5.0,DOPC,3,20,1.25,85,2,0,4,0,1,3,8
B14,10,10,CD81,5.0,DOPC,3,8,1.25,85,1,0,4,0,1,13,1
P17,11,11,CD81,5.0,DMPC,3,14,1.25,185,1,0,4,0,1,16,15
A14,12,12,CD81,5.0,DOPC,3,20,1.25,185,0,0,4,0,1,13,0
J13,13,13,CD81,5.0,DMPC,3,8,0.0,85,2,0,4,0,1,12,9
B5,14,14,CD81,5.0,DMPC,3,8,1.25,85,0,0,4,0,1,4,1
A4,15,15,CD81,5.0,DOPC,3,14,0.0,135,0,0,4,0,1,3,0
P6,16,16,CD81,5.0,DOPC,3,8,1.25,185,0,0,4,0,1,5,15
A17,17,17,CD81,5.0,DOPC,3,20,0.0,185,0,0,4,0,1,16,0
K13,18,18,CD9,5.0,DOPC,3,20,1.25,185,1,0,4,0,1,12,10
P10,19,19,CD9,5.0,DOPC,3,14,1.25,185,2,0,4,0,1,9,15
O14,20,20,CD9,5.0,DOPC,3,20,0.0,85,1,0,4,0,1,13,14
L17,21,21,CD9,5.0,DMPC,3,14,0.0,185,0,0,4,0,1,16,11
C13,22,22,CD9,5.0,DOPC,3,20,1.25,85,2,0,4,0,1,12,2
F14,23,23,CD9,5.0,DMPC,3,14,1.25,85,2,0,4,0,1,13,5
J6,24,24,CD9,5.0,DMPC,3,14,0.0,185,1,0,4,0,1,5,9
I1,25,25,CD9,5.0,DMPC,3,14,0.0,135,0,0,4,0,1,0,8
G15,26,26,CD9,5.0,DMPC,3,14,0.0,135,1,0,4,0,1,14,6
F9,27,27,AqpZ,5.0,DMPC,3,14,1.25,85,2,0,4,0,1,8,5
C2,28,28,AqpZ,5.0,DMPC,3,8,1.25,185,2,0,4,0,1,1,2
B19,29,29,AqpZ,5.0,DOPC,3,8,1.25,185,0,0,4,0,1,18,1
P1,30,30,AqpZ,5.0,DOPC,3,14,0.0,185,1,0,4,0,1,0,15
L6,31,31,AqpZ,5.0,DOPC,3,8,0.0,185,2,0,4,0,1,5,11
N1,32,32,AqpZ,5.0,DMPC,3,14,0.0,85,1,0,4,0,1,0,13
I7,33,33,AqpZ,5.0,DOPC,3,14,0.0,85,1,0,4,0,1,6,8
O19,34,34,AqpZ,5.0,DOPC,3,8,0.0,85,1,0,4,0,1,18,14
M15,35,35,AqpZ,5.0,DMPC,3,14,0.0,135,0,0,4,0,1,14,12
D17,36,36,Cat,5.0,DOPC,3,8,0.0,85,2,0,4,0,1,16,3
B2,37,37,Cat,5.0,DMPC,3,8,0.0,85,2,0,4,0,1,1,1
D21,38,38,Cat,5.0,DOPC,3,20,0.0,185,2,0,4,0,1,20,3
G3,39,39,Cat,5.0,DMPC,3,20,0.0,185,2,0,4,0,1,2,6
C16,40,40,Cat,2.5,DMPC,3,20,0.0,185,0,0,4,0,1,15,2
H9,41,41,Cat,2.5,DOPC,3,8,0.0,85,0,0,4,0,1,8,7
M22,42,42,Cat,2.5,DMPC,3,8,0.0,85,0,0,4,0,1,21,12
N14,43,43,Cat,2.5,DOPC,3,20,0.0,185,0,0,4,0,1,13,13
O20,44,44,Cat,2.5,DMPC,3,20,0.0,185,0,0,4,0,1,19,14
L19,45,45,Blank,0.0,DOPC,3,8,0.0,85,0,0,4,0,1,18,11
E14,46,46,Blank,0.0,DMPC,3,8,0.0,85,0,0,4,0,1,13,4
H17,47,47,Blank,0.0,DOPC,3,20,0.0,185,2,0,4,0,1,16,7
E1,48,48,Blank,0.0,DMPC,3,20,0.0,185,2,0,4,0,1,0,4
M12,49,49,CD63,5.0,no_lipo,3,20,0.0,185,1,0,4,0,1,11,12
F19,50,50,CD63,5.0,no_lipo,3,8,1.25,85,1,0,4,0,1,18,5
D2,51,51,CD63,5.0,no_lipo,3,14,1.25,85,2,0,4,0,1,1,3
C12,52,52,CD63,5.0,no_lipo,3,14,0.0,185,2,0,4,0,1,11,2
A5,53,53,CD63,5.0,no_lipo,3,14,0.0,185,1,0,4,0,1,4,0
I5,54,54,CD63,5.0,no_lipo,3,14,1.25,185,1,0,4,0,1,4,8
L20,55,55,CD63,5.0,no_lipo,3,20,0.0,185,0,0,4,0,1,19,11
J20,56,56,CD63,5.0,no_lipo,3,14,0.0,135,0,0,4,0,1,19,9
H14,57,57,CD63,5.0,no_lipo,3,14,0.0,85,0,0,4,0,1,13,7
