well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row,WCE
A6,0,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,5,0,BL64
K7,1,1,Mito,5,DOPC,3,8,0.0,185,1,0,4,0,1,6,10,BL64
E8,2,2,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,7,4,BL64
B9,3,3,Beta,5,DOPC,3,20,0.625,185,0,0,4,0,1,8,1,BL64
A3,4,4,Beta,5,DOPC,3,8,0.0,185,0,0,4,0,1,2,0,BL64
N5,5,5,Beta,5,DOPC,3,8,1.25,85,1,0,4,0,1,4,13,BL64
H3,6,6,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,2,7,BL64
L6,7,7,Dia,5,DOPC,3,14,0.0,185,0,0,4,0,1,5,11,BL64
L9,8,8,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,8,11,BL64
G9,9,9,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,8,6,BL64
J3,10,10,OR1A1,5,DOPC,3,14,0.0,135,0,0,4,0,1,2,9,BL64
N4,11,11,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,3,13,BL64
A2,12,12,CD47,5,DOPC,3,8,0.0,185,0,0,4,0,1,1,0,BL64
A7,13,13,CD47,5,DMPC,3,8,0.0,185,1,0,4,0,1,6,0,BL64
B5,14,14,CD47,5,DOPC,3,20,1.25,85,2,0,4,0,1,4,1,BL64
B3,15,15,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,2,1,BL64
E1,16,16,Blank,0,DMPC,3,8,0.0,85,0,0,4,0,1,0,4,BL64
B1,17,17,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,0,1,BL64
O5,18,18,Cat,5,DMPC,3,8,0.0,85,0,0,4,0,1,4,14,BL64
E6,19,19,Cat,5,DOPC,3,20,0.0,185,0,0,4,0,1,5,4,BL64
N9,20,20,Cat,5,DMPC,3,20,0.0,185,0,0,4,0,1,8,13,BL64
F7,21,21,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,6,5,BL64
M7,22,22,Mito,5,no_lipo,3,8,0.0,185,1,0,4,0,1,6,12,BL64
F4,23,23,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,3,5,BL64
E7,24,24,Beta,5,no_lipo,3,20,0.625,185,0,0,4,0,1,6,4,BL64
P2,25,25,Beta,5,no_lipo,3,8,0.0,185,0,0,4,0,1,1,15,BL64
O6,26,26,Beta,5,no_lipo,3,8,1.25,85,1,0,4,0,1,5,14,BL64
A4,27,27,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,3,0,BL64
G8,28,28,Dia,5,no_lipo,3,14,0.0,185,0,0,4,0,1,7,6,BL64
M6,29,29,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,5,12,BL64
L8,30,30,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,7,11,BL64
K3,31,31,OR1A1,5,no_lipo,3,14,0.0,135,0,0,4,0,1,2,10,BL64
F5,32,32,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,4,5,BL64
E5,33,33,CD47,5,no_lipo,3,8,0.0,185,0,0,4,0,1,4,4,BL64
H4,34,34,CD47,5,no_lipo,3,8,0.0,185,1,0,4,0,1,3,7,BL64
B7,35,35,CD47,5,no_lipo,3,20,1.25,85,2,0,4,0,1,6,1,BL64
F9,36,36,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,8,5,BL64
J2,37,38,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,1,9,BL64
C5,38,40,Cat,5,no_lipo,3,20,0.0,185,0,0,4,0,1,4,2,BL64
O9,39,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,8,14,BL64
K5,40,1,Mito,5,DOPC,3,8,0.0,185,1,0,4,0,1,4,10,BL64
F6,41,2,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,5,5,BL64
G6,42,3,Beta,5,DOPC,3,20,0.625,185,0,0,4,0,1,5,6,BL64
A8,43,4,Beta,5,DOPC,3,8,0.0,185,0,0,4,0,1,7,0,BL64
P8,44,5,Beta,5,DOPC,3,8,1.25,85,1,0,4,0,1,7,15,BL64
J6,45,6,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,5,9,BL64
L3,46,7,Dia,5,DOPC,3,14,0.0,185,0,0,4,0,1,2,11,BL64
A5,47,8,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,4,0,BL64
C7,48,9,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,6,2,BL64
C4,49,10,OR1A1,5,DOPC,3,14,0.0,135,0,0,4,0,1,3,2,BL64
F2,50,11,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,1,5,BL64
G2,51,12,CD47,5,DOPC,3,8,0.0,185,0,0,4,0,1,1,6,BL64
N2,52,13,CD47,5,DMPC,3,8,0.0,185,1,0,4,0,1,1,13,BL64
F3,53,14,CD47,5,DOPC,3,20,1.25,85,2,0,4,0,1,2,5,BL64
N7,54,15,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,6,13,BL64
D5,55,16,Blank,0,DMPC,3,8,0.0,85,0,0,4,0,1,4,3,BL64
C6,56,17,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,5,2,BL64
N1,57,18,Cat,5,DMPC,3,8,0.0,85,0,0,4,0,1,0,13,BL64
J4,58,19,Cat,5,DOPC,3,20,0.0,185,0,0,4,0,1,3,9,BL64
A9,59,20,Cat,5,DMPC,3,20,0.0,185,0,0,4,0,1,8,0,BL64
I10,60,21,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,9,8,BL64
C3,61,22,Mito,5,no_lipo,3,8,0.0,185,1,0,4,0,1,2,2,BL64
G7,62,23,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,6,6,BL64
D9,63,24,Beta,5,no_lipo,3,20,0.625,185,0,0,4,0,1,8,3,BL64
H2,64,25,Beta,5,no_lipo,3,8,0.0,185,0,0,4,0,1,1,7,BL64
G1,65,26,Beta,5,no_lipo,3,8,1.25,85,1,0,4,0,1,0,6,BL64
D4,66,27,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,3,3,BL64
N8,67,28,Dia,5,no_lipo,3,14,0.0,185,0,0,4,0,1,7,13,BL64
O1,68,29,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,0,14,BL64
J10,69,30,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,9,9,BL64
D1,70,31,OR1A1,5,no_lipo,3,14,0.0,135,0,0,4,0,1,0,3,BL64
C8,71,32,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,7,2,BL64
K6,72,33,CD47,5,no_lipo,3,8,0.0,185,0,0,4,0,1,5,10,BL64
I6,73,34,CD47,5,no_lipo,3,8,0.0,185,1,0,4,0,1,5,8,BL64
K10,74,35,CD47,5,no_lipo,3,20,1.25,85,2,0,4,0,1,9,10,BL64
K4,75,36,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,3,10,BL64
