well_name,unique_id,DNA_name,rxn_id,DNA_conc,K,Mg,PEG,SecYE,Liposome_name,Liposome_conc,day,plate,col,row,WCE
M1,0,CML1,0,5,135,14,2,0.0,DOPC,3,1,1,0,12,BL64
D1,1,CML1,1,5,135,17,1,0.0,DOPC,3,1,1,0,3,BL64
K7,2,CML1,2,5,135,20,0,0.0,DOPC,3,1,1,6,10,BL64
G1,3,CML1,3,5,135,20,1,0.0,DOPC,3,1,1,0,6,BL64
L8,4,CML1,4,5,185,17,2,0.0,DOPC,3,1,1,7,11,BL64
H9,5,CML1,0,5,135,14,2,0.0,DOPC,3,1,1,8,7,BL64
H5,6,CML1,1,5,135,17,1,0.0,DOPC,3,1,1,4,7,BL64
M9,7,CML1,2,5,135,20,0,0.0,DOPC,3,1,1,8,12,BL64
N2,8,CML1,3,5,135,20,1,0.0,DOPC,3,1,1,1,13,BL64
K9,9,CML1,4,5,185,17,2,0.0,DOPC,3,1,1,8,10,BL64
C5,10,CML1,0,5,135,14,2,0.0,DOPC,3,1,1,4,2,BL64
D8,11,CML1,1,5,135,17,1,0.0,DOPC,3,1,1,7,3,BL64
L9,12,CML1,2,5,135,20,0,0.0,DOPC,3,1,1,8,11,BL64
J6,13,CML1,3,5,135,20,1,0.0,DOPC,3,1,1,5,9,BL64
M3,14,CML1,4,5,185,17,2,0.0,DOPC,3,1,1,2,12,BL64
A4,15,CML1,0,5,135,14,2,0.0,DOPC,3,1,1,3,0,BL64
F1,16,CML1,1,5,135,17,1,0.0,DOPC,3,1,1,0,5,BL64
I2,17,CML1,2,5,135,20,0,0.0,DOPC,3,1,1,1,8,BL64
H2,18,CML1,3,5,135,20,1,0.0,DOPC,3,1,1,1,7,BL64
G4,19,CML1,4,5,185,17,2,0.0,DOPC,3,1,1,3,6,BL64
J3,20,CML1,0,5,135,14,2,0.0,no_lipo,3,1,1,2,9,BL64
D3,21,CML1,1,5,135,17,1,0.0,no_lipo,3,1,1,2,3,BL64
B7,22,CML1,2,5,135,20,0,0.0,no_lipo,3,1,1,6,1,BL64
K3,23,CML1,3,5,135,20,1,0.0,no_lipo,3,1,1,2,10,BL64
J2,24,CML1,4,5,185,17,2,0.0,no_lipo,3,1,1,1,9,BL64
H6,25,CML1,0,5,135,14,2,0.0,no_lipo,3,1,1,5,7,BL64
B5,26,CML1,1,5,135,17,1,0.0,no_lipo,3,1,1,4,1,BL64
D9,27,CML1,2,5,135,20,0,0.0,no_lipo,3,1,1,8,3,BL64
N6,28,CML1,3,5,135,20,1,0.0,no_lipo,3,1,1,5,13,BL64
C1,29,CML1,4,5,185,17,2,0.0,no_lipo,3,1,1,0,2,BL64
A9,30,CML1,0,5,135,14,2,0.0,no_lipo,3,1,1,8,0,BL64
J9,31,CML1,1,5,135,17,1,0.0,no_lipo,3,1,1,8,9,BL64
I8,32,CML1,2,5,135,20,0,0.0,no_lipo,3,1,1,7,8,BL64
O9,33,CML1,3,5,135,20,1,0.0,no_lipo,3,1,1,8,14,BL64
M6,34,CML1,4,5,185,17,2,0.0,no_lipo,3,1,1,5,12,BL64
B9,35,CML1,0,5,135,14,2,0.0,no_lipo,3,1,1,8,1,BL64
C9,36,CML1,1,5,135,17,1,0.0,no_lipo,3,1,1,8,2,BL64
O1,37,CML1,2,5,135,20,0,0.0,no_lipo,3,1,1,0,14,BL64
N3,38,CML1,3,5,135,20,1,0.0,no_lipo,3,1,1,2,13,BL64
D7,39,CML1,4,5,185,17,2,0.0,no_lipo,3,1,1,6,3,BL64
H10,40,Cx43,5,5,85,17,2,1.25,DMPC,3,1,1,9,7,BL64
A5,41,Cx43,6,5,135,14,2,0.0,DMPC,3,1,1,4,0,BL64
E6,42,Cx43,7,5,135,14,2,0.625,DMPC,3,1,1,5,4,BL64
O5,43,Cx43,8,5,135,17,2,0.625,DMPC,3,1,1,4,14,BL64
J10,44,Cx43,9,5,185,14,2,0.0,DMPC,3,1,1,9,9,BL64
L6,45,Cx43,5,5,85,17,2,1.25,DMPC,3,1,1,5,11,BL64
F8,46,Cx43,6,5,135,14,2,0.0,DMPC,3,1,1,7,5,BL64
L1,47,Cx43,7,5,135,14,2,0.625,DMPC,3,1,1,0,11,BL64
F4,48,Cx43,8,5,135,17,2,0.625,DMPC,3,1,1,3,5,BL64
M2,49,Cx43,9,5,185,14,2,0.0,DMPC,3,1,1,1,12,BL64
A10,50,Cx43,5,5,85,17,2,1.25,DMPC,3,1,1,9,0,BL64
A1,51,Cx43,6,5,135,14,2,0.0,DMPC,3,1,1,0,0,BL64
L2,52,Cx43,7,5,135,14,2,0.625,DMPC,3,1,1,1,11,BL64
E3,53,Cx43,8,5,135,17,2,0.625,DMPC,3,1,1,2,4,BL64
H8,54,Cx43,9,5,185,14,2,0.0,DMPC,3,1,1,7,7,BL64
N5,55,Cx43,5,5,85,17,2,1.25,DMPC,3,1,1,4,13,BL64
N9,56,Cx43,6,5,135,14,2,0.0,DMPC,3,1,1,8,13,BL64
E2,57,Cx43,7,5,135,14,2,0.625,DMPC,3,1,1,1,4,BL64
G10,58,Cx43,8,5,135,17,2,0.625,DMPC,3,1,1,9,6,BL64
G9,59,Cx43,9,5,185,14,2,0.0,DMPC,3,1,1,8,6,BL64
G8,60,Cx43,5,5,85,17,2,1.25,no_lipo,3,1,1,7,6,BL64
C7,61,Cx43,6,5,135,14,2,0.0,no_lipo,3,1,1,6,2,BL64
N1,62,Cx43,7,5,135,14,2,0.625,no_lipo,3,1,1,0,13,BL64
O2,63,Cx43,8,5,135,17,2,0.625,no_lipo,3,1,1,1,14,BL64
B8,64,Cx43,9,5,185,14,2,0.0,no_lipo,3,1,1,7,1,BL64
P7,65,Cx43,5,5,85,17,2,1.25,no_lipo,3,1,1,6,15,BL64
L4,66,Cx43,6,5,135,14,2,0.0,no_lipo,3,1,1,3,11,BL64
B10,67,Cx43,7,5,135,14,2,0.625,no_lipo,3,1,1,9,1,BL64
F6,68,Cx43,8,5,135,17,2,0.625,no_lipo,3,1,1,5,5,BL64
F7,69,Cx43,9,5,185,14,2,0.0,no_lipo,3,1,1,6,5,BL64
F2,70,Cx43,5,5,85,17,2,1.25,no_lipo,3,1,1,1,5,BL64
H4,71,Cx43,6,5,135,14,2,0.0,no_lipo,3,1,1,3,7,BL64
A2,72,Cx43,7,5,135,14,2,0.625,no_lipo,3,1,1,1,0,BL64
O10,73,Cx43,8,5,135,17,2,0.625,no_lipo,3,1,1,9,14,BL64
K5,74,Cx43,9,5,185,14,2,0.0,no_lipo,3,1,1,4,10,BL64
P8,75,Cx43,5,5,85,17,2,1.25,no_lipo,3,1,1,7,15,BL64
E7,76,Cx43,6,5,135,14,2,0.0,no_lipo,3,1,1,6,4,BL64
M7,77,Cx43,7,5,135,14,2,0.625,no_lipo,3,1,1,6,12,BL64
