Row,Column,Droplet
0,0,2
0,5,2
0,9,2
0,11,2
0,12,2
0,14,2
0,16,2
0,17,2
1,19,2
1,18,2
1,16,2
1,14,2
1,13,2
1,12,2
1,9,2
1,5,2
1,4,2
1,2,2
2,0,2
2,1,2
2,3,2
2,4,2
2,7,2
2,9,2
2,12,2
2,13,2
2,15,2
2,19,2
3,19,2
3,17,2
3,14,2
3,10,2
3,9,2
3,8,2
3,7,2
3,5,2
3,2,2
3,0,2
4,0,2
4,2,2
4,5,2
4,6,2
4,7,2
4,9,2
4,10,2
4,13,2
4,15,2
4,17,2
5,16,2
5,15,2
5,13,2
5,5,2
5,2,2
5,1,2
5,0,2
6,0,2
6,1,2
6,2,2
6,3,2
6,5,2
6,6,2
6,7,2
6,8,2
6,9,2
6,12,2
6,14,2
6,16,2
6,17,2
6,19,2
7,18,2
7,13,2
7,12,2
7,10,2
7,9,2
7,7,2
7,6,2
7,4,2
7,3,2
7,2,2
8,0,2
8,2,2
8,3,2
8,4,2
8,5,2
8,6,2
8,7,2
8,9,2
8,12,2
8,14,2
8,15,2
8,19,2
9,19,2
9,15,2
9,13,2
9,9,2
9,8,2
9,7,2
9,4,2
9,2,2
9,1,2
10,1,2
10,2,2
10,3,2
10,4,2
10,5,2
10,6,2
10,7,2
10,9,2
10,11,2
10,12,2
10,13,2
10,15,2
10,19,2
11,19,2
11,15,2
11,14,2
11,13,2
11,11,2
11,10,2
11,9,2
11,8,2
11,7,2
11,6,2
11,5,2
11,3,2
12,0,2
12,2,2
12,3,2
12,6,2
12,11,2
12,14,2
12,15,2
12,16,2
12,19,2
13,13,2
13,11,2
13,10,2
13,9,2
13,6,2
13,4,2
13,0,2
14,12,2
14,13,2
14,15,2
14,16,2
14,17,2
14,18,2
15,19,2
15,18,2
15,17,2
15,16,2
15,15,2
15,13,2
15,12,2
15,11,2
15,10,2
15,9,2
15,5,2
15,4,2
15,3,2
