well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,WCE,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row
A4,0,0,Blank,0,DOPC-0,BL64,3,8,0,85,0,0,4,0,1,3,0
B1,1,1,Blank,0,DOPC-1,BL64,3,8,0,85,0,0,4,0,1,0,1
N2,2,2,Blank,0,DOPC-2,BL64,3,8,0,85,0,0,4,0,1,1,13
J1,3,3,Blank,0,DMPC-0,BL64,3,8,0,85,0,0,4,0,1,0,9
E4,4,4,Blank,0,DMPC-1,BL64,3,8,0,85,0,0,4,0,1,3,4
E2,5,5,Blank,0,DMPC-2,BL64,3,8,0,85,0,0,4,0,1,1,4
I1,6,6,Cat,5,DOPC-0,BL64,3,8,0,85,0,0,4,0,1,0,8
K5,7,7,Cat,5,DOPC-1,BL64,3,8,0,85,0,0,4,0,1,4,10
K2,8,8,Cat,5,DOPC-2,BL64,3,8,0,85,0,0,4,0,1,1,10
B3,9,9,Cat,5,DMPC-0,BL64,3,8,0,85,0,0,4,0,1,2,1
F2,10,10,Cat,5,DMPC-1,BL64,3,8,0,85,0,0,4,0,1,1,5
I4,11,11,Cat,5,DMPC-2,BL64,3,8,0,85,0,0,4,0,1,3,8
A2,12,12,Blank,0,LB-0,BL64,3,8,0,85,0,0,4,0,1,1,0
P1,13,13,Blank,0,LB-1,BL64,3,8,0,85,0,0,4,0,1,0,15
H2,14,14,Blank,0,LB-2,BL64,3,8,0,85,0,0,4,0,1,1,7
L4,15,15,Cat,5,LB-0,BL64,3,8,0,85,0,0,4,0,1,3,11
E3,16,16,Cat,5,LB-1,BL64,3,8,0,85,0,0,4,0,1,2,4
F3,17,17,Cat,5,LB-2,BL64,3,8,0,85,0,0,4,0,1,2,5
D5,18,18,Blank,0,no_lipo,BL64,0,8,0,85,0,0,4,0,1,4,3
C4,19,19,Cat,5,no_lipo,BL64,0,8,0,85,0,0,4,0,1,3,2
F5,20,0,Blank,0,DOPC-0,BL64,3,8,0,85,0,0,4,0,1,4,5
K1,21,1,Blank,0,DOPC-1,BL64,3,8,0,85,0,0,4,0,1,0,10
D2,22,2,Blank,0,DOPC-2,BL64,3,8,0,85,0,0,4,0,1,1,3
