well_name,unique_id,rxn_id,DNA_name,DNA_conc,K,Mg,PEG,SecYE,Liposome_name,Liposome_conc,day,plate,col,row
I3,0,0,AqpZ,5.0,135,14,0,0,DOPC,3,1,1,2,8
F4,1,1,AqpZ,2.5,135,14,0,0,DOPC,3,1,1,3,5
C3,2,2,AqpZ,1.25,135,14,0,0,DOPC,3,1,1,2,2
N7,3,3,AqpZ,0.625,135,14,0,0,DOPC,3,1,1,6,13
P10,4,4,AqpZ,0.3125,135,14,0,0,DOPC,3,1,1,9,15
H2,5,5,AqpZ,5.0,135,14,0,0,DOPC_0025_Cy5,3,1,1,1,7
O3,6,6,AqpZ,2.5,135,14,0,0,DOPC_0025_Cy5,3,1,1,2,14
I5,7,7,AqpZ,1.25,135,14,0,0,DOPC_0025_Cy5,3,1,1,4,8
O5,8,8,AqpZ,0.625,135,14,0,0,DOPC_0025_Cy5,3,1,1,4,14
G3,9,9,AqpZ,0.3125,135,14,0,0,DOPC_0025_Cy5,3,1,1,2,6
A5,10,10,AqpZ,5.0,135,14,0,0,DOPC_005_Cy5,3,1,1,4,0
D1,11,11,AqpZ,2.5,135,14,0,0,DOPC_005_Cy5,3,1,1,0,3
C6,12,12,AqpZ,1.25,135,14,0,0,DOPC_005_Cy5,3,1,1,5,2
G5,13,13,AqpZ,0.625,135,14,0,0,DOPC_005_Cy5,3,1,1,4,6
D4,14,14,AqpZ,0.3125,135,14,0,0,DOPC_005_Cy5,3,1,1,3,3
G1,15,15,AqpZ,5.0,135,14,0,0,no_lipo,3,1,1,0,6
E6,16,16,AqpZ,2.5,135,14,0,0,no_lipo,3,1,1,5,4
P1,17,17,AqpZ,1.25,135,14,0,0,no_lipo,3,1,1,0,15
K10,18,18,AqpZ,0.625,135,14,0,0,no_lipo,3,1,1,9,10
D11,19,19,AqpZ,0.3125,135,14,0,0,no_lipo,3,1,1,10,3
K4,20,20,MscL,5.0,135,14,0,0,DOPC,3,1,1,3,10
I9,21,21,MscL,2.5,135,14,0,0,DOPC,3,1,1,8,8
J2,22,22,MscL,1.25,135,14,0,0,DOPC,3,1,1,1,9
O11,23,23,MscL,0.625,135,14,0,0,DOPC,3,1,1,10,14
H5,24,24,MscL,0.3125,135,14,0,0,DOPC,3,1,1,4,7
D8,25,25,MscL,5.0,135,14,0,0,DOPC_0025_Cy5,3,1,1,7,3
P3,26,26,MscL,2.5,135,14,0,0,DOPC_0025_Cy5,3,1,1,2,15
J3,27,27,MscL,1.25,135,14,0,0,DOPC_0025_Cy5,3,1,1,2,9
J6,28,28,MscL,0.625,135,14,0,0,DOPC_0025_Cy5,3,1,1,5,9
D6,29,29,MscL,0.3125,135,14,0,0,DOPC_0025_Cy5,3,1,1,5,3
A8,30,30,MscL,5.0,135,14,0,0,DOPC_005_Cy5,3,1,1,7,0
E1,31,31,MscL,2.5,135,14,0,0,DOPC_005_Cy5,3,1,1,0,4
E9,32,32,MscL,1.25,135,14,0,0,DOPC_005_Cy5,3,1,1,8,4
C7,33,33,MscL,0.625,135,14,0,0,DOPC_005_Cy5,3,1,1,6,2
P7,34,34,MscL,0.3125,135,14,0,0,DOPC_005_Cy5,3,1,1,6,15
C9,35,35,MscL,5.0,135,14,0,0,no_lipo,3,1,1,8,2
K3,36,36,MscL,2.5,135,14,0,0,no_lipo,3,1,1,2,10
D5,37,37,MscL,1.25,135,14,0,0,no_lipo,3,1,1,4,3
P2,38,38,MscL,0.625,135,14,0,0,no_lipo,3,1,1,1,15
N9,39,39,MscL,0.3125,135,14,0,0,no_lipo,3,1,1,8,13
F1,40,40,Blank,0.0,135,14,0,0,DOPC,3,1,1,0,5
C11,41,41,Blank,0.0,135,14,0,0,DOPC_0025_Cy5,3,1,1,10,2
I6,42,42,Blank,0.0,135,14,0,0,DOPC_005_Cy5,3,1,1,5,8
G7,43,43,Blank,0.0,135,14,0,0,no_lipo,3,1,1,6,6
N5,44,0,AqpZ,5.0,135,14,0,0,DOPC,3,1,1,4,13
M1,45,1,AqpZ,2.5,135,14,0,0,DOPC,3,1,1,0,12
O1,46,2,AqpZ,1.25,135,14,0,0,DOPC,3,1,1,0,14
I2,47,3,AqpZ,0.625,135,14,0,0,DOPC,3,1,1,1,8
H10,48,4,AqpZ,0.3125,135,14,0,0,DOPC,3,1,1,9,7
J5,49,5,AqpZ,5.0,135,14,0,0,DOPC_0025_Cy5,3,1,1,4,9
I1,50,6,AqpZ,2.5,135,14,0,0,DOPC_0025_Cy5,3,1,1,0,8
E11,51,7,AqpZ,1.25,135,14,0,0,DOPC_0025_Cy5,3,1,1,10,4
L2,52,8,AqpZ,0.625,135,14,0,0,DOPC_0025_Cy5,3,1,1,1,11
B11,53,9,AqpZ,0.3125,135,14,0,0,DOPC_0025_Cy5,3,1,1,10,1
O8,54,10,AqpZ,5.0,135,14,0,0,DOPC_005_Cy5,3,1,1,7,14
F7,55,11,AqpZ,2.5,135,14,0,0,DOPC_005_Cy5,3,1,1,6,5
G6,56,12,AqpZ,1.25,135,14,0,0,DOPC_005_Cy5,3,1,1,5,6
H6,57,13,AqpZ,0.625,135,14,0,0,DOPC_005_Cy5,3,1,1,5,7
J4,58,14,AqpZ,0.3125,135,14,0,0,DOPC_005_Cy5,3,1,1,3,9
F11,59,15,AqpZ,5.0,135,14,0,0,no_lipo,3,1,1,10,5
L3,60,16,AqpZ,2.5,135,14,0,0,no_lipo,3,1,1,2,11
H7,61,17,AqpZ,1.25,135,14,0,0,no_lipo,3,1,1,6,7
G2,62,18,AqpZ,0.625,135,14,0,0,no_lipo,3,1,1,1,6
B2,63,19,AqpZ,0.3125,135,14,0,0,no_lipo,3,1,1,1,1
H11,64,20,MscL,5.0,135,14,0,0,DOPC,3,1,1,10,7
P9,65,21,MscL,2.5,135,14,0,0,DOPC,3,1,1,8,15
J10,66,22,MscL,1.25,135,14,0,0,DOPC,3,1,1,9,9
P4,67,23,MscL,0.625,135,14,0,0,DOPC,3,1,1,3,15
G9,68,24,MscL,0.3125,135,14,0,0,DOPC,3,1,1,8,6
N11,69,25,MscL,5.0,135,14,0,0,DOPC_0025_Cy5,3,1,1,10,13
J7,70,26,MscL,2.5,135,14,0,0,DOPC_0025_Cy5,3,1,1,6,9
N3,71,27,MscL,1.25,135,14,0,0,DOPC_0025_Cy5,3,1,1,2,13
D3,72,28,MscL,0.625,135,14,0,0,DOPC_0025_Cy5,3,1,1,2,3
B5,73,29,MscL,0.3125,135,14,0,0,DOPC_0025_Cy5,3,1,1,4,1
C4,74,30,MscL,5.0,135,14,0,0,DOPC_005_Cy5,3,1,1,3,2
M6,75,31,MscL,2.5,135,14,0,0,DOPC_005_Cy5,3,1,1,5,12
G8,76,32,MscL,1.25,135,14,0,0,DOPC_005_Cy5,3,1,1,7,6
D2,77,33,MscL,0.625,135,14,0,0,DOPC_005_Cy5,3,1,1,1,3
B10,78,34,MscL,0.3125,135,14,0,0,DOPC_005_Cy5,3,1,1,9,1
N8,79,35,MscL,5.0,135,14,0,0,no_lipo,3,1,1,7,13
E5,80,36,MscL,2.5,135,14,0,0,no_lipo,3,1,1,4,4
M5,81,37,MscL,1.25,135,14,0,0,no_lipo,3,1,1,4,12
I8,82,38,MscL,0.625,135,14,0,0,no_lipo,3,1,1,7,8
K1,83,39,MscL,0.3125,135,14,0,0,no_lipo,3,1,1,0,10
L1,84,40,Blank,0.0,135,14,0,0,DOPC,3,1,1,0,11
M10,85,41,Blank,0.0,135,14,0,0,DOPC_0025_Cy5,3,1,1,9,12
N10,86,42,Blank,0.0,135,14,0,0,DOPC_005_Cy5,3,1,1,9,13
A11,87,43,Blank,0.0,135,14,0,0,no_lipo,3,1,1,10,0
J1,88,0,AqpZ,5.0,135,14,0,0,DOPC,3,1,1,0,9
C10,89,1,AqpZ,2.5,135,14,0,0,DOPC,3,1,1,9,2
A9,90,2,AqpZ,1.25,135,14,0,0,DOPC,3,1,1,8,0
N2,91,3,AqpZ,0.625,135,14,0,0,DOPC,3,1,1,1,13
H3,92,4,AqpZ,0.3125,135,14,0,0,DOPC,3,1,1,2,7
I4,93,5,AqpZ,5.0,135,14,0,0,DOPC_0025_Cy5,3,1,1,3,8
L11,94,6,AqpZ,2.5,135,14,0,0,DOPC_0025_Cy5,3,1,1,10,11
K8,95,7,AqpZ,1.25,135,14,0,0,DOPC_0025_Cy5,3,1,1,7,10
J9,96,8,AqpZ,0.625,135,14,0,0,DOPC_0025_Cy5,3,1,1,8,9
M9,97,9,AqpZ,0.3125,135,14,0,0,DOPC_0025_Cy5,3,1,1,8,12
L4,98,10,AqpZ,5.0,135,14,0,0,DOPC_005_Cy5,3,1,1,3,11
M7,99,11,AqpZ,2.5,135,14,0,0,DOPC_005_Cy5,3,1,1,6,12
M3,100,12,AqpZ,1.25,135,14,0,0,DOPC_005_Cy5,3,1,1,2,12
L10,101,13,AqpZ,0.625,135,14,0,0,DOPC_005_Cy5,3,1,1,9,11
E3,102,14,AqpZ,0.3125,135,14,0,0,DOPC_005_Cy5,3,1,1,2,4
L9,103,15,AqpZ,5.0,135,14,0,0,no_lipo,3,1,1,8,11
O10,104,16,AqpZ,2.5,135,14,0,0,no_lipo,3,1,1,9,14
E4,105,17,AqpZ,1.25,135,14,0,0,no_lipo,3,1,1,3,4
F9,106,18,AqpZ,0.625,135,14,0,0,no_lipo,3,1,1,8,5
N4,107,19,AqpZ,0.3125,135,14,0,0,no_lipo,3,1,1,3,13
A4,108,20,MscL,5.0,135,14,0,0,DOPC,3,1,1,3,0
O2,109,21,MscL,2.5,135,14,0,0,DOPC,3,1,1,1,14
A10,110,22,MscL,1.25,135,14,0,0,DOPC,3,1,1,9,0
N1,111,23,MscL,0.625,135,14,0,0,DOPC,3,1,1,0,13
P6,112,24,MscL,0.3125,135,14,0,0,DOPC,3,1,1,5,15
A7,113,25,MscL,5.0,135,14,0,0,DOPC_0025_Cy5,3,1,1,6,0
H4,114,26,MscL,2.5,135,14,0,0,DOPC_0025_Cy5,3,1,1,3,7
L5,115,27,MscL,1.25,135,14,0,0,DOPC_0025_Cy5,3,1,1,4,11
H9,116,28,MscL,0.625,135,14,0,0,DOPC_0025_Cy5,3,1,1,8,7
C8,117,29,MscL,0.3125,135,14,0,0,DOPC_0025_Cy5,3,1,1,7,2
J8,118,30,MscL,5.0,135,14,0,0,DOPC_005_Cy5,3,1,1,7,9
A3,119,31,MscL,2.5,135,14,0,0,DOPC_005_Cy5,3,1,1,2,0
A6,120,32,MscL,1.25,135,14,0,0,DOPC_005_Cy5,3,1,1,5,0
A2,121,33,MscL,0.625,135,14,0,0,DOPC_005_Cy5,3,1,1,1,0
L6,122,34,MscL,0.3125,135,14,0,0,DOPC_005_Cy5,3,1,1,5,11
D7,123,35,MscL,5.0,135,14,0,0,no_lipo,3,1,1,6,3
E7,124,36,MscL,2.5,135,14,0,0,no_lipo,3,1,1,6,4
M8,125,37,MscL,1.25,135,14,0,0,no_lipo,3,1,1,7,12
J11,126,38,MscL,0.625,135,14,0,0,no_lipo,3,1,1,10,9
K5,127,39,MscL,0.3125,135,14,0,0,no_lipo,3,1,1,4,10
I11,128,40,Blank,0.0,135,14,0,0,DOPC,3,1,1,10,8
F8,129,41,Blank,0.0,135,14,0,0,DOPC_0025_Cy5,3,1,1,7,5
F6,130,42,Blank,0.0,135,14,0,0,DOPC_005_Cy5,3,1,1,5,5
B1,131,43,Blank,0.0,135,14,0,0,no_lipo,3,1,1,0,1
B8,132,0,AqpZ,5.0,135,14,0,0,DOPC,3,1,1,7,1
K11,133,1,AqpZ,2.5,135,14,0,0,DOPC,3,1,1,10,10
E8,134,2,AqpZ,1.25,135,14,0,0,DOPC,3,1,1,7,4
C2,135,3,AqpZ,0.625,135,14,0,0,DOPC,3,1,1,1,2
M11,136,4,AqpZ,0.3125,135,14,0,0,DOPC,3,1,1,10,12
