Row,Column,Droplet
0,0,2
0,1,2
0,4,2
0,5,2
0,6,2
0,7,2
0,8,2
0,10,2
0,13,2
0,14,2
0,16,2
0,17,2
0,20,2
0,22,2
1,23,2
1,22,2
1,18,2
1,17,2
1,12,2
1,11,2
1,10,2
1,8,2
1,7,2
1,4,2
1,1,2
1,0,2
2,1,2
2,5,2
2,6,2
2,9,2
2,11,2
2,13,2
2,14,2
2,15,2
2,17,2
2,19,2
2,20,2
2,21,2
2,22,2
2,23,2
3,22,2
3,19,2
3,17,2
3,16,2
3,15,2
3,13,2
3,12,2
3,10,2
3,9,2
3,6,2
3,4,2
3,3,2
3,2,2
4,0,2
4,4,2
4,6,2
4,8,2
4,10,2
4,12,2
4,13,2
4,16,2
4,20,2
4,22,2
5,23,2
5,20,2
5,19,2
5,18,2
5,17,2
5,16,2
5,14,2
5,12,2
5,10,2
5,9,2
5,7,2
5,5,2
5,3,2
5,0,2
6,2,2
6,4,2
6,6,2
6,8,2
6,9,2
6,11,2
6,12,2
6,15,2
6,16,2
6,17,2
6,18,2
6,19,2
6,20,2
6,22,2
6,23,2
7,22,2
7,21,2
7,19,2
7,17,2
7,14,2
7,11,2
7,7,2
7,6,2
7,5,2
7,3,2
7,1,2
8,1,2
8,3,2
8,4,2
8,6,2
8,7,2
8,10,2
8,12,2
8,13,2
8,14,2
8,15,2
8,17,2
8,19,2
8,20,2
8,21,2
8,23,2
9,18,2
9,16,2
9,14,2
9,8,2
9,5,2
9,2,2
9,0,2
10,2,2
10,4,2
10,10,2
10,11,2
10,12,2
10,14,2
10,15,2
10,22,2
11,21,2
11,20,2
11,19,2
11,16,2
11,15,2
11,13,2
11,12,2
11,8,2
11,7,2
11,5,2
11,3,2
11,2,2
11,1,2
11,0,2
12,1,2
12,2,2
12,5,2
12,6,2
12,7,2
12,8,2
12,10,2
12,11,2
12,12,2
12,13,2
12,16,2
12,21,2
13,23,2
13,22,2
13,21,2
13,19,2
13,18,2
13,17,2
13,13,2
13,12,2
13,11,2
13,9,2
13,6,2
13,3,2
13,2,2
14,0,2
14,1,2
14,5,2
14,10,2
14,11,2
14,15,2
14,16,2
14,21,2
14,22,2
15,22,2
15,20,2
15,19,2
15,18,2
15,14,2
15,13,2
15,10,2
15,9,2
15,7,2
15,5,2
15,3,2
