Row,Column,Droplet
0,2,4
0,5,4
0,7,4
0,9,4
0,10,4
0,11,4
1,13,4
1,11,4
1,10,4
1,9,4
2,2,4
2,3,4
2,4,4
2,10,4
2,13,4
2,15,4
2,18,4
3,19,4
3,16,4
3,15,4
3,14,4
3,11,4
3,8,4
3,5,4
4,3,4
4,6,4
4,9,4
4,22,4
5,19,4
5,18,4
5,14,4
5,4,4
6,2,4
6,6,4
6,7,4
6,12,4
6,13,4
6,16,4
6,18,4
6,19,4
6,22,4
7,23,4
7,21,4
7,18,4
7,16,4
7,13,4
7,9,4
7,7,4
7,6,4
8,7,4
8,8,4
8,10,4
8,16,4
8,19,4
9,22,4
9,19,4
9,14,4
9,13,4
9,11,4
9,8,4
9,0,4
10,5,4
10,7,4
10,10,4
10,13,4
11,21,4
11,19,4
11,3,4
11,0,4
12,3,4
12,7,4
12,10,4
12,12,4
12,16,4
12,18,4
12,19,4
12,23,4
13,21,4
13,18,4
13,17,4
13,10,4
13,5,4
13,2,4
13,1,4
13,0,4
14,5,4
14,6,4
14,11,4
14,16,4
14,18,4
14,19,4
14,23,4
15,22,4
15,21,4
15,4,4
15,0,4
