Row,Column,Droplet
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
1,13,1
1,12,1
1,11,1
1,10,1
1,9,1
1,8,1
1,7,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
3,13,1
3,12,1
3,11,1
3,10,1
3,9,1
3,8,1
3,7,1
4,7,1
4,8,1
4,9,1
4,10,1
4,11,1
4,12,1
4,13,1
5,13,1
5,12,1
5,11,1
5,10,1
5,9,1
5,8,1
5,7,1
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
6,12,1
6,13,1
7,13,1
7,12,1
7,11,1
7,10,1
7,9,1
7,8,1
7,7,1
8,7,1
8,8,1
8,9,1
8,10,1
8,11,1
8,12,1
8,13,1
9,13,1
9,12,1
9,11,1
9,10,1
9,9,1
9,8,1
9,7,1
10,7,1
10,8,1
10,9,1
10,10,1
10,11,1
10,12,1
10,13,1
11,13,1
11,12,1
11,11,1
11,10,1
11,9,1
11,8,1
11,7,1
12,7,1
12,8,1
12,9,1
12,10,1
12,11,1
12,12,1
13,12,1
13,11,1
13,10,1
13,9,1
13,8,1
13,7,1
14,7,1
14,8,1
14,9,1
14,10,1
14,11,1
14,12,1
15,12,1
15,11,1
15,10,1
15,9,1
15,8,1
15,7,1
